FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b22	1111	Sud	Bresson		ZA Condamines / 1 Rue des Condamines			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.739676	45.142768	POINT (5.73967617580309 45.142767768886564)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b23	1112	Sud	Bresson		L'Oratoire / Réservoirs ville de Grenoble / 3-5 Rue de l'Oratoire			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.74168	45.138578	POINT (5.741679909939171 45.138577702278)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b24	1113	Sud	Bresson		Restaurant / 2 Rue Emile Chavant			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.750259	45.138297	POINT (5.750259215479642 45.13829655766435)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b25	1114	Sud	Bresson		Eglise (Parking) / Rue de l'Eglise			verre		aérien	3	SNNECO	Eco-DI	Lattes horizontales					SNNECO_Eco-DI_3_A_k					5.750562	45.136366	POINT (5.750561988083536 45.13636620519309)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b26	1115	Sud	Bresson		Golf / Route d'accès (accès par route D112 en provenance de Brié ou Jarrie)			verre		aérien	4	SNNECO	Eco-Bois						SNNECO_Eco-Bois_4_A_k					5.763312	45.128599	POINT (5.763311950050845 45.12859897017043)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b27	1116	Sud	Bresson		Golf / Club-Restaurant (accès cuisines)			verre		aérien	4	SNNECO	Eco-Bois						SNNECO_Eco-Bois_4_A_k					5.756469	45.127568	POINT (5.756469138774251 45.127567783704905)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bb4	1264	Sud	Bresson		L'Oratoire / Réservoirs ville de Grenoble / 3-5 Rue de l'Oratoire			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k		2017-10-20	Ajout colonne supplémentaire		5.741721	45.138589	POINT (5.741721375294936 45.13858948193976)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bb5	1265	Sud	Bresson		Eglise (Parking) / Rue de l'Eglise			verre		aérien	3	SNNECO	Eco-DI	Lattes verticales					SNNECO_Eco-DI_3_A_k		2017-10-20	Ajout colonne supplémentaire		5.750598	45.136385	POINT (5.750598427768187 45.13638533269409)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bc2	1278	Sud	Bresson		Rue de la République / Chemin des Saules			verre		aérien	0	-							__0_A_		2018-03-12			5.748686	45.137957	POINT (5.748685731660785 45.13795661766166)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bf5	2013	Sud	Bresson		ZA Condamines / 1 Rue des Condamines			papier	CA	aérien	4	SNNECO	Eco-DI											5.739601	45.142717	POINT (5.739601303748454 45.14271671318573)
