FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3517	1117	Sud	Brié-et-Angonnes		Parking Souveyron / Route de Montavie / Chemin de la Léchère		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Sale	SNNECO_Eco-Bois_4_A_k					5.768739	45.136769	POINT (5.768739411406434 45.13676923839976)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3742	1122	Sud	Brié-et-Angonnes		Caserne Pompiers / Route d'Uriage / Chemin des Broux		VER	verre	CA	aérien	4	STCM	Polytri				2016-11-03	Bon	STCM_Polytri_4_A_c				2016-11-03	5.786418	45.114043	POINT (5.786417986370468 45.11404270268987)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3743	3023	Sud	Brié-et-Angonnes		Caserne Pompiers / Route d'Uriage / Chemin des Broux		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.786375	45.114047	POINT (5.786374581429504 45.11404672238828)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3744	2129	Sud	Brié-et-Angonnes		Caserne Pompiers / Route d'Uriage / Chemin des Broux		PAP	papier	CA	aérien	4	STCM	Polytri					Bon			2016-11-03	Colonne Papier supplémentaire	2018-12-19	5.786322	45.114023	POINT (5.786220854673225 45.11407631623155)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_374b	3139	Sud	Brié-et-Angonnes		Caserne Pompiers / Route d'Uriage / Chemin des Broux		EMB	emballages	CA	aérien	5	STCM	Polytri					Bon			2016-11-03	Colonne Emballages supplémentaire sur site pré-existant		5.786325	45.114055	POINT (5.786324650615617 45.11405475305592)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_374c	3022	Sud	Brié-et-Angonnes		Ecole du Barlatier / Chemin du Barlatier (100m après école) / Chemin de Leva		EMB	emballages	CE	enterré	0	Astech						Bon						5.78505	45.118808	POINT (5.785049603769817 45.118808062670375)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_374d	1120	Sud	Brié-et-Angonnes		Ecole du Barlatier / Chemin du Barlatier (100m après école) / Chemin de Leva		VER	verre	CE	enterré	0	Astech						Bon	Astech__0_E_k					5.785256	45.118913	POINT (5.78525551633417 45.11891291519984)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_374e	1119	Sud	Brié-et-Angonnes		Les Angonnes / Chapelle / 889 Route des Angonnes		VER	verre	CE	enterré	4	Citec						Usé	Citec__4_E_k					5.77719	45.139219	POINT (5.777189654871632 45.1392187662902)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_374f	1121	Sud	Brié-et-Angonnes		Mont Rolland / 496-590 Route du Mont Rolland / Chemin des Imberts		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_cro					5.7777	45.114016	POINT (5.777700303128545 45.11401629729065)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3750	2022	Sud	Brié-et-Angonnes		Ecole du Barlatier / Chemin du Barlatier (100m après école) / Chemin de Leva		PAP	papier	CE	enterré	0	Astech						Bon						5.785219	45.118882	POINT (5.785153856294367 45.1188574860325)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3751	3021	Sud	Brié-et-Angonnes		Les Angonnes / Chapelle / 889 Route des Angonnes		EMB	emballages	CE	enterré	4	Citec	?					Usé						5.777088	45.139207	POINT (5.777088392326177 45.13920686027292)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3752	3018	Sud	Brié-et-Angonnes		Parking Souveyron / Route de Montavie / Chemin de la Léchère		EMB	emballages	CA	aérien	5	STCM	Polytri					Bon						5.768745	45.136929	POINT (5.768745099730984 45.136928684205664)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3753	3019	Sud	Brié-et-Angonnes		Parking Souveyron / Route de Montavie / Chemin de la Léchère		EMB	emballages	CA	aérien	5	STCM	Polytri	Trappe coulissante				Bon						5.768747	45.136977	POINT (5.768747456462162 45.13697747988025)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3758	1118	Sud	Brié-et-Angonnes		Parking Souveyron / Route de Montavie / Chemin de la Léchère		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Sale	SNNECO_Eco-Bois_4_A_k					5.768735	45.13681	POINT (5.768735201152483 45.13681039360427)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3759	2023	Sud	Brié-et-Angonnes		Services Techniques / 3992 Route Napoléon (Route D5)		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.78378	45.115345	POINT (5.783822483682354 45.1153416177678)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_37e8	2024	Sud	Brié-et-Angonnes		Caserne Pompiers / Route d'Uriage / Chemin des Broux		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Bon						5.786286	45.114059	POINT (5.7862750824553775 45.11406530141361)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_37e9	2021	Sud	Brié-et-Angonnes		Les Angonnes / Chapelle / 889 Route des Angonnes		PAP	papier	CE	enterré	4	Citec	?					Usé						5.77712	45.1392	POINT (5.777139026562519 45.13921030106652)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_37ea	2019	Sud	Brié-et-Angonnes		Parking Souveyron / Route de Montavie / Chemin de la Léchère		PAP	papier	CA	aérien	4	SNNECO	Eco-DI	Type bois				Sale						5.770505	45.134282	POINT (5.768743967694428 45.13686357586751)
