FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3177	2033	Grand-Sud	Champ-sur-Drac		Bibliothèque / Rue Général Delestraint (derrière école maternelle)		CS	collecte sélective	CE	enterré	0	Astech						Bon						5.732764	45.082732	POINT (5.732739098973868 45.08274165171442)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3178	2038	Grand-Sud	Champ-sur-Drac		Ecole des Gonnardières / 139 Avenue des Condamines (derrière école)		CS	collecte sélective	CE	enterré	0	Astech						Bon						5.728628	45.080207	POINT (5.728605608160256 45.08021071434647)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3179	3034	Grand-Sud	Champ-sur-Drac		Bibliothèque / Rue Général Delestraint (derrière école maternelle)		CS	collecte sélective	CE	enterré	0	Astech						Bon						5.732716	45.082752	POINT (5.732715962041302 45.08275161761334)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_317a	3040	Grand-Sud	Champ-sur-Drac		Ecole des Gonnardières / 139 Avenue des Condamines (derrière école)		CS	collecte sélective	CE	enterré	0	Astech						Bon						5.728583	45.080214	POINT (5.728582767363013 45.080214178622214)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_317b	2030	Grand-Sud	Champ-sur-Drac		Navarre / Musée / Avenue Jean Navarre / Rue du Vercors		CS	collecte sélective	CE	enterré	0	Astech						Bon						5.730651	45.086525	POINT (5.7306331499203855 45.086529451389275)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_317c	3031	Grand-Sud	Champ-sur-Drac		Navarre / Musée / Avenue Jean Navarre / Rue du Vercors		CS	collecte sélective	CE	enterré	0	Astech						Bon						5.730613	45.086534	POINT (5.730612830580726 45.08653397589424)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_317d	3032	Grand-Sud	Champ-sur-Drac		Parking PL (poids lourds) / Avenue Jean Navarre / Rue Henri Barbusse		CS	collecte sélective	CA	aérien	4	SNNECO	Eco-DI					Bon						5.734838	45.084353	POINT (5.734838257919239 45.08435294170911)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3182	1131	Grand-Sud	Champ-sur-Drac		Navarre / Musée / Avenue Jean Navarre / Rue du Vercors		VER	verre	CE	enterré	0	Astech						Bon	Astech__0_E_k					5.730651	45.086525	POINT (5.730651193179635 45.08652492836366)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3186	1140	Grand-Sud	Champ-sur-Drac		Ecole des Gonnardières / 139 Avenue des Condamines (derrière école)		VER	verre	CE	enterré	0	Astech						Bon	Astech__0_E_k					5.728628	45.080207	POINT (5.7286280681623545 45.08020738882648)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3188	2039	Grand-Sud	Champ-sur-Drac		Chemin du Boutey (face au n° 46)		CS	collecte sélective	CE	enterré	5	Sulo	?	Bac Sulo 5m3 Kinshofer, puce DFC1078200000064				Bon					2019-10-18	5.729899	45.073842	POINT (5.7309840960709 45.0733830745825)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_318b	3035	Grand-Sud	Champ-sur-Drac		Salle Emile Zola / Place du Marché / Rue Général Delestraint		CS	collecte sélective	CA	aérien	5	SNNECO	Eco-Bois	Trappe commerçants				Bon						5.73399	45.082517	POINT (5.7339899996377275 45.082516745093464)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3190	3041	Grand-Sud	Champ-sur-Drac		Chemin du Boutey (face au n° 46)		CS	collecte sélective	CE	enterré	5	Sulo	?	Bac Sulo 5m3 Kinshofer, puce F22804820000006B				Bon					2019-10-18	5.729868	45.073859	POINT (5.731012873441045 45.07337550499898)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_319e	1141	Grand-Sud	Champ-sur-Drac		Complexe sportif René Perrouault / 26 Chemin du Boutey		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Bon	SNNECO_Eco-Bois_4_A_k					5.727444	45.075579	POINT (5.727444302904519 45.075578637379586)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31aa	1132	Grand-Sud	Champ-sur-Drac		Parking PL (poids lourds) / Avenue Jean Navarre / Rue Henri Barbusse		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Bon	SNNECO_Eco-DI_3_A_k					5.734863	45.084337	POINT (5.7348626264752935 45.08433736048499)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ab	1139	Grand-Sud	Champ-sur-Drac		Pavillon (parking derrière la Poste) / Rue de Verdun		VER	verre	CE	enterré	0	Citec						Bon	Citec__0_E_k					5.735819	45.080016	POINT (5.735819095794973 45.08001647568403)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31b2	1135	Grand-Sud	Champ-sur-Drac		Ateliers municipaux / 2 rue du 19 Mars 1962 (impasse derrière mairie)		VER	verre	CA	aérien	4	SNNECO	Eco-Bois	Trappe commerçants				Bon	SNNECO_Eco-Bois (avec trappe com_4_A_k					5.734543	45.082651	POINT (5.734542686760722 45.082651103688356)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3228	2031	Grand-Sud	Champ-sur-Drac		Parking PL (poids lourds) / Avenue Jean Navarre / Rue Henri Barbusse		CS	collecte sélective	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.734863	45.084337	POINT (5.734850365093645 45.08434376506975)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_322d	2040	Grand-Sud	Champ-sur-Drac		Cimetière du Sert / 41 Route du Village		CS	collecte sélective	CE	enterré	0	Citec	?					Bon						5.733686	45.073379	POINT (5.733676922841289 45.07336362783247)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_323a	2032	Grand-Sud	Champ-sur-Drac		La Chêneraie (parking) / Allée de la Chêneraie		CS	collecte sélective	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.729489	45.084753	POINT (5.729483338685717 45.08474395740428)
