FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_317e	3025	Grand-Sud	Champagnier		Place du Lacca		EMB	emballages	CE	enterré	0	Astech						Sale						5.728456	45.113847	POINT (5.728456096012323 45.11384733392029)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_318c	2026	Grand-Sud	Champagnier		Place du Lacca		PAP	papier	CE	enterré	0	Astech						Sale						5.728473	45.113859	POINT (5.728464368283998 45.11385319449911)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_318e	3026	Grand-Sud	Champagnier		Place de l'Ecole (parking)		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois					Sale						5.727084	45.109066	POINT (5.727084162243945 45.109066026120175)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_318f	2027	Grand-Sud	Champagnier		Place de l'Ecole (parking)		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.727058	45.109093	POINT (5.727100357063106 45.109044968599484)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_319c	3029	Grand-Sud	Champagnier		Eglise / Cimetière / Mairie / Chemin de l'Eglise		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.730027	45.106942	POINT (5.730026556639405 45.106942115067106)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ae	1129	Grand-Sud	Champagnier		Les Isles / Rue de la Digue / Route D1085A		VER	verre	CA	aérien	2	UTPM	Ecobox	UTPM 2m3 crochet				Sale	Citec_Cyclea_2.5_A_c				2018-10-30	5.708492	45.110248	POINT (5.708491627755862 45.11024788970052)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_323d	2028	Grand-Sud	Champagnier		Eglise / Cimetière / Mairie / Chemin de l'Eglise		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.730029	45.106914	POINT (5.730027041601154 45.10692836875837)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_323e	3030	Grand-Sud	Champagnier		Les Isles / Rue de la Digue / Route D1085A		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.708492	45.110248	POINT (5.708491605817967 45.1102479444888)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_323f	2029	Grand-Sud	Champagnier		Les Isles / Rue de la Digue / Route D1085A		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.708491	45.110231	POINT (5.708490805381028 45.11023099462819)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3364	1127	Grand-Sud	Champagnier		Espace 4 Vents (accès cuisines) / 3 Chemin du Gal		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Bon	SNNECO_Eco-Bois_4_A_k					5.726321	45.109703	POINT (5.726321002150898 45.10970346206439)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_358d	1126	Grand-Sud	Champagnier		Place de l'Ecole (parking)		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Sale	SNNECO_Eco-DI_3_A_k					5.727112	45.109155	POINT (5.727080688485537 45.10914013321663)
