FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_377d	15	Nord-Est	Corenc		3 Chemin de Cabessière (local poubelle)			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.754326	45.219499	POINT (5.754325793792266 45.21949876723192)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_377e	16	Nord-Est	Corenc		42 Chemin de Pelletière			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.752809	45.222725	POINT (5.752809223776207 45.22272528944139)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_377f	17	Nord-Est	Corenc		123 Route de Chartreuse (100 m avant accès Maison de Retraite la Providence)			verre		aérien	4	Citec	Cyclea Max						Citec_Cyclea Max_4_A_c					5.763956	45.220615	POINT (5.763955893227167 45.22061461402507)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3780	18	Nord-Est	Corenc		Chemin des Pierres / Route de Chartreuse			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.76155	45.219284	POINT (5.7615503962988885 45.21928357678258)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3781	19	Nord-Est	Corenc		9 Chemin de la Croix de Montfleury / Tennis Club			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_c					5.748954	45.20885	POINT (5.748954256752397 45.20884991484483)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3782	20	Nord-Est	Corenc		Avenue de Beauregard / Allée des Séquoias			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.752256	45.21142	POINT (5.752256389934773 45.21141984345278)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3783	21	Nord-Est	Corenc		9-11 Avenue de la Paix / Avenue Charles de Foucauld / Face école maternelle de Montfleury			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.759961	45.210989	POINT (5.7599607566993365 45.210988910667425)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3784	22	Nord-Est	Corenc		Avenue Louis Bonnet Eymard / Avenue Hector Berlioz			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.772132	45.217347	POINT (5.772132085725882 45.217347384798586)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3785	23	Nord-Est	Corenc		30-32 Avenue du Grésivaudan / Hôtel restaurant les 3 Roses			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_c					5.76282	45.210625	POINT (5.7628196501221804 45.21062487844352)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3786	24	Nord-Est	Corenc		66 Avenue du Grésivaudan / Parking Collège Jules Flandrin			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_c					5.757425	45.208258	POINT (5.757425038769951 45.20825830496946)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3787	25	Nord-Est	Corenc		Chemin de Malanot / Route de Chartreuse (Monument aux morts)			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_c					5.753704	45.216575	POINT (5.753704082397488 45.21657538615789)
