FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3175	26	Nord-Est	Domène		Rue de Montroux / Chemin des Contamines / Les Bayardières (logette sur parking)		VER	verre	CA	aérien	3	Citec	Islea				2017-05-05	Bon	Citec_Islea_3_A_c				2017-10-27	5.840494	45.208138	POINT (5.840493564839704 45.20813804962159)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3189	1290	Nord-Est	Domène		12-14 Avenue de la Gare / Rue des Alpes		VER	verre	CA	aérien	3	UTPM	Ecobox	UTPM 3m3 Crochet				Bon	Quadria_Linéance_3_A_c		2018-05-29	Nouveau site de collecte	2018-06-22	5.833707	45.20171	POINT (5.833706676061738 45.201709759087166)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31a3	41	Nord-Est	Domène		1 Rue des Contamines / Parking Relais / Dépôt DDE		VER	verre	CA	aérien	4	Citec	Islea	Citec 4m3 Isléa crochet				Bon	Citec_Islea_4_A_c				2018-02-09	5.847022	45.206754	POINT (5.8470221132781015 45.206753772122156)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31c0	40	Nord-Est	Domène		Déchèterie / Rue Marius Charles (face au n° 57)		VER	verre	CA	aérien	4	Citec	Cyclea	Citec 4m3 crochet				Usé	Citec_Cyclea_4_A_c				2019-04-11	5.831306	45.210435	POINT (5.831305682549012 45.210435003119)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31dc	1047	Nord-Est	Domène		Déchèterie / Rue Marius Charles (face au n° 57)		VER	verre	CA	aérien	4	Citec	Cyclea	Citec 4m3 crochet				Bon	Citec_Cyclea_4_A_c				2019-05-13	5.831362	45.21043	POINT (5.831361787204813 45.21042976079605)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_334e	31	Nord-Est	Domène		Route de Revel / Place Amable Matussière		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.840815	45.201024	POINT (5.840814798756126 45.201023813264754)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3394	39	Nord-Est	Domène		1 Rue Aristide Bergès / Parking Intermarché		VER	verre	CA	aérien	4	Citec	Cyclea					Bon	Citec_Cyclea_4_A_c					5.827687	45.206786	POINT (5.827686915388235 45.20678592562128)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3395	1285	Nord-Est	Domène		2 Rue des Iles / Services techniques		VER	verre	CA	aérien	0	?	?					Usé	???_???_0_A_?		2018-03-30	Ancienne colonne stockée dans domaine privé des serv tech réintégrée dans listing Métro (mais toujours inaccessible au public)		5.822085	45.20129	POINT (5.822085348029524 45.20129040004791)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3396	37	Nord-Est	Domène		25-29 Rue Casimir Julhiet / Allée de la Fraternité / Entrée quartier Chenevières		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.828175	45.203468	POINT (5.8281746255614 45.203467971513334)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3397	33	Nord-Est	Domène		30B Rue Emile Blanc / Complexe sportif Pierre de Courbertin / Piscine		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.83457	45.200504	POINT (5.834570148169945 45.20050363265901)
