FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3143	1334	Sud	Echirolles		Allée des 120 Toises / Base de loisirs Pablo Picasso / Tennis couverts		VER	verre	CA	aérien	3	UTPM	Ecobox	UTPM 3m3 crochet, puce FA940482000004D8; gps							2019-09-09	Nouveau site de collecte		5.696020773	45.144953702	POINT (5.696020773472298 45.14495374333721)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_318a	5436	Sud	Echirolles		14-16-18 Avenue Danièle Casanova	La Luire	CS	collecte sélective	CE	enterré	5	Citec	Evolution L	Tulip G5							2019-05-06			5.700638334	45.146791094	POINT (5.700470425333015 45.14635817829038)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31c2	1252	Sud	Echirolles		Place Eugène Thénard / 23-25 Avenue Henri Wallon (face n° 40)		VER	verre	CA	aérien	3	Citec						Bon	Citec__3_A_c		2016-11-03			5.733399	45.14403	POINT (5.732974797806684 45.14371857521352)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31cb	65	Sud	Echirolles		Rue Albert Londres / Rue Normandie Niemen		VER	verre	CA	aérien	4	Quadria	Linéance	Citec Cycléa 4m3			2017-05-09	Sale	Citec_Cyclea_4_A_c				2017-05-09	5.719767	45.14758	POINT (5.719766732943292 45.147579735854215)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ce	48	Sud	Echirolles		Rue de Normandie (face n° 8-10 Allée du Gatinais) / P16 Gatinais		VER	verre	CA	aérien	4	Citec	Cyclea				2017-05-09	Bon	Citec_Cyclea_4_A_c				2017-05-09	5.720988	45.158335	POINT (5.720988239994301 45.158335045226096)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ed	47	Sud	Echirolles		Rue Jean Vilar / Rue d'Alsace / Face Hôtel		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet V1869A			2012 (février)	Bon	UTPM_Ecobox_3_A_c				2018-10-30	5.728857	45.157103	POINT (5.728857295734894 45.15710267122754)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ef	50	Sud	Echirolles		Rue du Berry (face au n°13 Place Beaumarchais) / P21 Beaumarchais / Rond-point		VER	verre	CA	aérien	3	EcoVert	Inconnu	Citec 3m3 crochet				Bon	EcoVert_Inconnu_3_A_c				2018-10-30	5.721944	45.155832	POINT (5.72194351753709 45.15583214306213)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31f0	113	Sud	Echirolles		13 Rue de Vassieux / 40 Rue des Grottes de la Luire		VER	verre	CE	enterré	4	Citec		Citec 4m3 Kinshofer			2018-09-24	Bon	Citec__4_E_k				2018-09-24	5.698717	45.143588	POINT (5.698716898191493 45.143587609869684)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3207	59	Sud	Echirolles		Avenue Victor Hugo / Rue Fernand Pelloutier		VER	verre	CA	aérien	3	EcoVert	Inconnu	Citec 4m3				Sale	EcoVert_Inconnu_3_A_c				2018-02-09	5.712372	45.154295	POINT (5.7123717882543446 45.15429504458284)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3208	79	Sud	Echirolles		Halle Vieux Village / Place Baille Barelle / Avenue de la République / Parc Robert Buisson (Frange Verte)		VER	verre	CA	aérien	2.5	Quadria	Linéance	Quadria 4m3 crochet V1840A				Sale	EcoVert_Inconnu_2.5_A_c				2018-03-16	5.721206	45.139573	POINT (5.721206031984443 45.13957316901493)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3384	1327	Sud	Echirolles		4 Rue Léon Fournier Sud		VER	verre	CA	aérien	3	Citec	Cyclea	Citec Cycléa 3m3 Crochet, puce							2019-06-21	Nouveau site de collecte		5.705735905	45.145146648	POINT (5.705735904988912 45.14514668873682)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34ce	5435	Sud	Echirolles		14-16-18 Avenue Danièle Casanova	La Luire	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec	Evolution L	Tulip G5	double tambour						2019-05-06			5.700638638	45.14676526	POINT (5.700469057904524 45.146329154376616)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34f2	64	Sud	Echirolles		Rue Antoine Polotti / Rue Albert Londres		VER	verre	CE	enterré	3	Citec						Sale	Citec__3_E_c					5.721807	45.147359	POINT (5.7218069790234845 45.147359465871396)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3518	83	Sud	Echirolles		1 Rue de Stalingrad (face au n°8) / Résidence Le Parc des Essarts		VER	verre	CA	aérien	3	EcoVert	Inconnu					Usé	EcoVert_Inconnu_3_A_c					5.715132	45.135985	POINT (5.715132051862831 45.13598475804048)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3519	82	Sud	Echirolles		Rue Clément Ader / Rue Denis Papin		VER	verre	CA	aérien	3	EcoVert	Inconnu					Sale	EcoVert_Inconnu_3_A_c					5.714022	45.137759	POINT (5.714022394820475 45.1377587173744)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_351e	99	Sud	Echirolles		10 Avenue du Gésivaudan / Allée Ronsard / Auberge de Jeunesse		VER	verre	CA	aérien	3	Citec	Cyclea					Sale	Citec_Cyclea_3_A_c					5.704851	45.152416	POINT (5.704850743596247 45.15241586236031)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_351f	116	Sud	Echirolles		119-123 Cours Jean Jaurès		VER	verre	CA	aérien	3	UTPM	Ecobox				2012-02-08	Sale	UTPM_Ecobox_3_A_c				2012-02-08	5.704903	45.145327	POINT (5.704902713498532 45.14532697975589)
