FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31c3	144	Sud	Eybens		Rue Pierre Mendès France / Avenue de Poisat		VER	verre	CA	aérien	3	Citec	Cyclea	Citec 3m3 Crochet				Bon	EcoVert_Inconnu_3_A_c				2019-01-10	5.751368	45.153641	POINT (5.751368348179763 45.15364091678577)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31cf	159	Sud	Eybens		6 Rue Montesquieu / Square Buffon		VER	verre	CE	enterré	4	Citec						Bon	Citec__4_E_					5.742633	45.145872	POINT (5.742632653319276 45.14587167294736)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31d0	145	Sud	Eybens		Rue Charles Piot / Rue Stendhal (square) / Limite communale avec Poisat		VER	verre	CA	aérien	2.5	Citec	Cyclea	Citec 2m3 Cycléa				Bon	Citec_Cyclea_2.5_A_c				2017-08-18	5.754499	45.159151	POINT (5.754499414124043 45.15915145843119)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31d9	152	Sud	Eybens		9-21 Rue de Cure Bourse (transformateur)		VER	verre	CA	aérien	2.5	Citec	Cyclea	Citec 2m3 crochet				Bon	Plastic Omnium_Inconnu_3_A_c				2017-12-13	5.74217	45.163114	POINT (5.742170211234903 45.16311450700135)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31e6	156	Sud	Eybens		Déchèterie / 33 Rue des Grands Champs		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet V1873A				Bon	UTPM_Ecobox_3_A_c				2018-10-18	5.743305	45.153229	POINT (5.743305174173784 45.153229241091076)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31e7	155	Sud	Eybens		Summum / Rue Henri Barbusse / Avenue Raymond Chanas		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.738803	45.156862	POINT (5.738803303975173 45.15686206194621)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31f4	151	Sud	Eybens		10 Rue Galilée		VER	verre	CA	aérien	3	UTPM	Ecobox	UTPM 3m3 Crochet				Bon	Citec_Cyclea_2.5_A_c				2017-12-13 /// 2019-01-15	5.742882	45.166076	POINT (5.7428822014118435 45.166076281698764)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_320d	160	Sud	Eybens		Rue des Rosiers / Avenu de Champ Fila		VER	verre	CA	aérien	2.5	Citec	Cyclea	Citec 2m3 crochet				Bon	Citec_Cyclea_2.5_A_c				2018-01-30	5.757473	45.155564	POINT (5.757473097957671 45.15556367047697)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35a8	141	Sud	Eybens		21 Rue Jean Moulin (proximité salle Jean Moulin) / Intersection avec Rue Julien Offray de la Mettrie		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.742281	45.147565	POINT (5.74228146334256 45.147564652807056)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35a9	146	Sud	Eybens		27-29 Rue Victor Hugo / Centre Loisirs et Culture / Ecole Bel-Air		VER	verre	CA	aérien	4.2	Citec	Cyclea Max					Bon	Citec_Cyclea Max_4.2_A_c					5.750839	45.158952	POINT (5.750838631790917 45.15895161214338)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35aa	139	Sud	Eybens		2-8 Rue du Château / La Grange du Château / Parking centre commercial		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.752504	45.148572	POINT (5.752504069172324 45.148571609556924)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35ab	153	Sud	Eybens		3-7 Rue de l'Industrie (à côté de la Maison Départementale des Sports)		VER	verre	CA	aérien	4	Inconnue	Inconnu					Bon	Inconnue_Inconnu_4_A_c					5.743515	45.15844	POINT (5.743514734125526 45.15843992179428)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35ad	1320	Sud	Eybens		16 Rue Irène Joliot Curie / ZA Les Ruires		VER	verre	CA	aérien	3	Biloba	Ecobois Neo								2019-04-10	Nouveau site de collecte		5.736806	45.149492	POINT (5.736806187836891 45.14949175639764)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35d9	136	Sud	Eybens		Avenue de la République / Rue de la Tuilerie (parking salle de la Tuilerie)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.754641	45.146849	POINT (5.754641473978442 45.146848806934294)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35da	1231	Sud	Eybens		Avenue d'Echirolles / Face Résidence le Pré au Crêt / Rue Baruch Spinoza (nouvelle rue)		VER	verre	CA	aérien	3	UTPM	Ecobox					Bon	UTPM_Ecobox_3_A_c		2015-09-23			5.741566	45.144432	POINT (5.741566454362158 45.14443202402357)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35db	1312	Sud	Eybens		CTE Sud & Grand Sud / 10 rue Le Corbusier		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon			2019-01-17	Nouveau site de collecte		5.737674	45.15291	POINT (5.737673638363209 45.152910164275575)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35dc	157	Sud	Eybens		Déchèterie / 33 Rue des Grands Champs		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	UTPM_Ecobox_4_A_c					5.743263	45.153216	POINT (5.7432630641535525 45.153216052595845)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35dd	150	Sud	Eybens		Ecole du Val / 3 Rue du 19 mars 1962		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.743143	45.160451	POINT (5.743143329163107 45.160450748178505)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35de	1319	Sud	Eybens		8-10 Rue Irène Joliot Curie / ZA Les Ruires		VER	verre	CA	aérien	4	Biloba	Ecobois Neo								2019-04-10	Nouveau site de collecte		5.739398	45.149892	POINT (5.739398069342546 45.149892216204435)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35e4	138	Sud	Eybens		Place Malraux (parking derrière caserne pompiers) / 13-17 Avenue d'Echirolles		VER	verre	CA	aérien	2.5	Citec	Cyclea					Usé	Citec_Cyclea_2.5_A_c					5.747969	45.148513	POINT (5.7479691683930625 45.14851344351448)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35e5	148	Sud	Eybens		Rue du Pré Batard / Rue du Trièves		VER	verre	CA	aérien	2.5	Citec	Cyclea					Sale	Citec_Cyclea_2.5_A_c					5.747395	45.159256	POINT (5.747395142336821 45.159255740915675)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35e6	149	Sud	Eybens		Rue du Vercors / Rue de Belledonne (parking)		VER	verre	CA	aérien	4	UTPM	PV400					Usé	UTPM_PV400_4_A_c					5.749018	45.161933	POINT (5.749018096288619 45.161933095739805)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35e7	147	Sud	Eybens		Rue Eugène Ravanat / Avenue Jean Jaurès (au pied du pont)		VER	verre	CA	aérien	3	Plastic Omnium	Inconnu					Bon	Plastic Omnium_Inconnu_3_A_c					5.74582	45.158291	POINT (5.745820443590983 45.158291523940015)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35ea	143	Sud	Eybens		Rue des Javaux (vers n° 34) / Rue des Grands Champs / Rue Pierre Mendès France		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.746807	45.151847	POINT (5.7468070756276255 45.1518468791012)
