FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_380a	162	Nord-Ouest	Fontaine		Parking RIE (Restaurant Inter Entreprises) / Allée des Balmes (passage sous Boulvard Paul Langevin) / Rue René Camphin / Face Parc Karl Marx			verre		aérien	4	Citec	Cyclea				juillet 2011		Citec_Cyclea_4_A_c				juillet 2011	5.688762	45.185098	POINT (5.688761999455211 45.18509801692248)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_380b	163	Nord-Ouest	Fontaine		4-5 Place Henri Chapays / Rue Eugène Charbonnier			verre		aérien	2	Quadria	Lineance						UTPM_Ecobox_2_A_c					5.67708	45.194133	POINT (5.677079957124961 45.19413279280045)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_380c	164	Nord-Ouest	Fontaine		61 Rue Joseph Bertoin			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.676879	45.196259	POINT (5.676878887444867 45.196259054941535)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_380d	165	Nord-Ouest	Fontaine		Square André Hermitte (parking) / Rue Joseph Bertoin / Rue des Alpes			verre		aérien	4	UTPM	PV400						UTPM_PV400_4_A_c					5.680473	45.197941	POINT (5.68047282579621 45.19794124400091)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_380e	166	Nord-Ouest	Fontaine		Parking Géant (côté terminus tram) / 120 boulevard Paul Langevin			verre		aérien	4	Citec	Cyclea				janvier 2011		Citec_Cyclea_4_A_c				janvier 2011	5.672211	45.197435	POINT (5.6722113072777445 45.19743533433749)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_380f	168	Nord-Ouest	Fontaine		3-11 Rue de la République			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.667305	45.195338	POINT (5.667305121493922 45.195337993080614)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3810	169	Nord-Ouest	Fontaine		Rue de Sassenage / Rue Suzanne Valadon			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.681436	45.199999	POINT (5.681435818202992 45.19999953567467)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3811	170	Nord-Ouest	Fontaine		Rue François Marceau (Square) / Rue des Buissonnées / Rue Joseph Bertoin			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.68378	45.19958	POINT (5.683779797416822 45.19958008303319)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3812	171	Nord-Ouest	Fontaine		54 Rue Jean Pain / Rue Jules Guesde (côté arrêt de bus)			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.688635	45.197979	POINT (5.688635273101341 45.19797904875443)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3813	172	Nord-Ouest	Fontaine		2-3 Rue du Grand Veymont			verre		aérien	4	Quadria	Lineance						UTPM_PV400_4_A_c					5.685177	45.197247	POINT (5.685176949136692 45.19724666357279)
