FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3830 207 Nord-Ouest Fontanil-Cornillon  Rue Babière / Rue Chancelière   verre  enterré 4 Citec       Citec__4_E_     5.664199 45.248698 POINT (5.6641985986850125 45.24869770961797)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3831 208 Nord-Ouest Fontanil-Cornillon  Rue du Rafour (Gymnase Lionel Terray)   verre  enterré 4 Citec       Citec__4_E_     5.666527 45.252921 POINT (5.666526682917418 45.25292083424839)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3832 210 Nord-Ouest Fontanil-Cornillon  Rue des Ecoles / Rue du Rocher   verre  enterré 4 Citec       Citec__4_E_     5.669043 45.248359 POINT (5.669042561396496 45.248358623804556)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3833 211 Nord-Ouest Fontanil-Cornillon  9 Rue du Cornillon   verre  enterré 4 -       -__4_E_  2011 juillet   5.672041 45.247796 POINT (5.672070475546496 45.24768845433042)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3834 212 Nord-Ouest Fontanil-Cornillon  8 Avenue de la Louisiane / Hotel Kyriad (parking intérieur derrière hôtel - côté cuisines) / Zone Industrielle   verre  aérien 2.5 Citec Cyclea      Citec_Cyclea_2.5_A_c     5.657712 45.245483 POINT (5.657711642795389 45.24548328216079)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3835 213 Nord-Ouest Fontanil-Cornillon  49 Rue Pré Didier / Zone Industrielle   verre  aérien 3 UTPM PV387      UTPM_PV387_3_A_c     5.657655 45.25162 POINT (5.657654694957957 45.25161974290624)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3af3 1063 Nord-Ouest Fontanil-Cornillon  Allée de la Cerisaie / Cimetière   verre  enterré 4 Citec       Citec__4_E_  2011 octobre   5.663981 45.259015 POINT (5.663980987249397 45.25901462101377)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bd8 1301 Nord-Ouest Fontanil-Cornillon  Grande Rue / Rue de Montpertuis Fontanil VER verre CE enterré 4 Plastic Omnium Minimax 4      Plastic Omnium_Minimax 4_4_E_k  2018-09-07 Nouveau site de collecte du verre sur site de collecte OMR-CS existant  5.662431 45.256734 POINT (5.662431498826637 45.256733803501724)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3be6 1315 Nord-Ouest Fontanil-Cornillon  1 Rue du Lanfrey  VER verre CE enterré 4 Plastic Omnium Minimax 4        2019-02-08 Nouveau site de collecte  5.662318 45.25318 POINT (5.662318441858072 45.25317972887922)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d60	5066	Nord-Ouest	Fontanil-Cornillon		Rue du Rocher / Rue Meyretière (rond-point)	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06				5.66893	45.248357	POINT (5.668929916840586 45.24835716756917)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d61	5067	Nord-Ouest	Fontanil-Cornillon		Rue du Rocher / Rue Meyretière (rond-point)	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06				5.668962	45.248356	POINT (5.668962020228945 45.24835624745286)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d62	5068	Nord-Ouest	Fontanil-Cornillon		Rue du Rocher / Rue Meyretière (rond-point)	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.669034	45.248357	POINT (5.669034405395803 45.2483570169137)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d63	5069	Nord-Ouest	Fontanil-Cornillon		Rue du Rocher / Rue Meyretière (rond-point)	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.669068	45.248357	POINT (5.66906790727148 45.248357004180654)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d64	5070	Nord-Ouest	Fontanil-Cornillon		49 Rue du Cornillon	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2008			5.668628	45.250684	POINT (5.668627830273707 45.25068357186941)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d65	5071	Nord-Ouest	Fontanil-Cornillon		49 Rue du Cornillon	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.668598	45.250709	POINT (5.668598475358133 45.250709012843586)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d66	5072	Nord-Ouest	Fontanil-Cornillon		Place de la Fontaine	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2008			5.664528	45.255149	POINT (5.664527668186319 45.255148555152346)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d67	5073	Nord-Ouest	Fontanil-Cornillon		Place de la Fontaine	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.664501	45.255168	POINT (5.66450066515633 45.25516825371551)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d68	5074	Nord-Ouest	Fontanil-Cornillon		Allée de la Cerisaie / Cimetière	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2008			5.66364	45.258855	POINT (5.663639773890165 45.258855432099104)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d69	5075	Nord-Ouest	Fontanil-Cornillon		Allée de la Cerisaie / Cimetière	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2008			5.663662	45.258863	POINT (5.663661656359658 45.258863322288164)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d6a	5076	Nord-Ouest	Fontanil-Cornillon		Allée de la Cerisaie / Cimetière	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.6637	45.258884	POINT (5.663700365974236 45.25888398830232)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d6b	5077	Nord-Ouest	Fontanil-Cornillon		Rue Bach / Chemin de Claretière / Place du Marché	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2008			5.666619	45.254527	POINT (5.666618515126801 45.2545266569442)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d6c	5078	Nord-Ouest	Fontanil-Cornillon		Rue Bach / Chemin de Claretière / Place du Marché	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.66664	45.254503	POINT (5.6666399584588945 45.254503329086276)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d6d	5079	Nord-Ouest	Fontanil-Cornillon		12-26 Rue du Rocher	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2009			5.670432	45.246159	POINT (5.67043170235416 45.24615921654283)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d6e	5080	Nord-Ouest	Fontanil-Cornillon		12-26 Rue du Rocher	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2009			5.67047	45.246125	POINT (5.6704699320560845 45.24612499875513)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d6f	5081	Nord-Ouest	Fontanil-Cornillon		12-26 Rue du Rocher	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.670523	45.246087	POINT (5.67052265088266 45.24608658098047)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d70	5082	Nord-Ouest	Fontanil-Cornillon		12-26 Rue du Rocher	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.670563	45.246049	POINT (5.6705633942095455 45.246049448699175)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d71	5083	Nord-Ouest	Fontanil-Cornillon		1 Rue du Rafour	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			hors service		2018-06	2009			5.666914	45.249046	POINT (5.6669141666531315 45.249046061152235)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d72	5084	Nord-Ouest	Fontanil-Cornillon		1 Rue du Rafour	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.666913	45.249022	POINT (5.666912815639134 45.249022436795826)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d73	5085	Nord-Ouest	Fontanil-Cornillon		Rue du Rafour / Parc municipal / Gymnase Lionel Terray	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2009			5.666532	45.252921	POINT (5.666531904630866 45.252921178527444)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d74	5086	Nord-Ouest	Fontanil-Cornillon		Rue du Rafour / Parc municipal / Gymnase Lionel Terray	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.666549	45.2529	POINT (5.6665494345198315 45.25289985580511)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d75	5087	Nord-Ouest	Fontanil-Cornillon		Rue Fetola / MJC / Entrepierre	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2009			5.664799	45.256817	POINT (5.664798736294922 45.25681690018329)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d76	5088	Nord-Ouest	Fontanil-Cornillon		Rue Fetola / MJC / Entrepierre	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.664823	45.256801	POINT (5.6648232871577715 45.256801056217455)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d77	5089	Nord-Ouest	Fontanil-Cornillon		Grande Rue / Rue de Montpertuis	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2009			5.662325	45.256796	POINT (5.662325274258117 45.25679572122501)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d78	5090	Nord-Ouest	Fontanil-Cornillon		Grande Rue / Rue de Montpertuis	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2009			5.662352	45.256779	POINT (5.662352455220509 45.2567788551761)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d79	5091	Nord-Ouest	Fontanil-Cornillon		Grande Rue / Rue de Montpertuis	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.662381	45.256763	POINT (5.662381026009025 45.256762900417286)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d7a	5092	Nord-Ouest	Fontanil-Cornillon		Grande Rue / Rue de Montpertuis	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.662408	45.256747	POINT (5.662408250805543 45.256746976899194)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d7e	5096	Nord-Ouest	Fontanil-Cornillon		Rue du Rif Tronchard / Complexe sportif	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.666431	45.246714	POINT (5.666430880354329 45.2467137180022)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d7f	5097	Nord-Ouest	Fontanil-Cornillon		Rue du Rif Tronchard / Complexe sportif	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2010			5.666406	45.246723	POINT (5.66640595474128 45.24672295000648)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d80	5098	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière / Rue Babière	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2010			5.664181	45.248596	POINT (5.664180697166766 45.248596063686776)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d81	5099	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière / Rue Babière	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.664233	45.248603	POINT (5.6642333431901575 45.24860308045232)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d82	5100	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière / Rue Babière	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.664252	45.248665	POINT (5.664251626898098 45.24866501736307)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d83	5101	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière / Rue Babière	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.664271	45.248652	POINT (5.664270996007936 45.24865216231447)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d84	5102	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière / Rue Babière	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2010			5.664294	45.248637	POINT (5.664294259948882 45.248637302622804)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d85	5103	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière / Rue Babière	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2010			5.664315	45.248624	POINT (5.66431495658001 45.24862440771701)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d86	5104	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière (vers Allée des Orchidées)	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.66162	45.251117	POINT (5.6616198547736385 45.25111658940037)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d87	5105	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière (vers Allée des Orchidées)	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.661588	45.251107	POINT (5.661588486861248 45.251107076938716)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d88	5106	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière (vers Allée des Orchidées)	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			moyen		2018-06	2010			5.661558	45.251096	POINT (5.661558358444756 45.25109563056503)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d89	5107	Nord-Ouest	Fontanil-Cornillon		Rue Chancelière (vers Allée des Orchidées)	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			moyen		2018-06	2010			5.661531	45.251086	POINT (5.661531017916255 45.251085997599134)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3dab	5141	Nord-Ouest	Fontanil-Cornillon		9 Rue du Cornillon	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.672042	45.247722	POINT (5.672042355866855 45.24772194006127)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3dac	5142	Nord-Ouest	Fontanil-Cornillon		9 Rue du Cornillon	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.672058	45.247705	POINT (5.672057815206596 45.247704883683)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3dad	5143	Nord-Ouest	Fontanil-Cornillon		9 Rue du Cornillon	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2011-07			5.672087	45.247673	POINT (5.672086653579173 45.24767322333742)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3dae	5144	Nord-Ouest	Fontanil-Cornillon		9 Rue du Cornillon	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2011-07			5.672101	45.247654	POINT (5.672101452803228 45.2476538774358)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3db7	5153	Nord-Ouest	Fontanil-Cornillon		31 rue du Rocher / 23 rue Grange de l'Or	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2011-07			5.670032	45.247401	POINT (5.670032179288113 45.24740141285356)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3db8	5154	Nord-Ouest	Fontanil-Cornillon		31 rue du Rocher / 23 rue Grange de l'Or	Fontanil	CS	collecte sélective	CE	enterré	5	Citec												5.670002	45.247423	POINT (5.670001748772673 45.24742287454761)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3db9	5155	Nord-Ouest	Fontanil-Cornillon		6-8 Rue des Quatre Sétérées	Fontanil	OMR	ordures ménagères résiduelles	CE	enterré	5	Citec			double tambour			bon		2018-06	2012-01			5.656261	45.25119	POINT (5.656260840775257 45.251189674183955)
