FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3836	215	Nord-Est	Gières		4 Rue des Essards / ZI Mayencin 1			verre		aérien	2.5	Citec	Cyclea				2011 septembre		Citec_Cyclea_2.5_A_c				2011 septembre	5.777643	45.18859	POINT (5.777642985262402 45.188589546956145)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3837	216	Nord-Est	Gières		Rue des Glairons / Mail des Sports / face entrée dépôt tram Semitag			verre		aérien	3	Plastic Omnium	Citybulle						Plastic Omnium_Citybulle_3_A_c					5.7844	45.18837	POINT (5.784400391385828 45.188370193498244)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3838	217	Nord-Est	Gières		Rue des Sports (impasse / aire de retournement vers tennis)			verre		aérien	3	Plastic Omnium	Citybulle						Plastic Omnium_Citybulle_3_A_c					5.787108	45.187872	POINT (5.787108196267581 45.187871604702615)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3839	218	Nord-Est	Gières		4 Rue des Sports / Rue du Port (Genin Motoculture)			verre		aérien	3	Citec	Cyclea				2014-06-18		Citec_Cyclea_3_A_c				2014-06-18	5.788801	45.185948	POINT (5.788801145791259 45.18594764604058)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_383a	219	Nord-Est	Gières		2 Rue Pierre Giraud			verre		aérien	3	Plastic Omnium	Citybulle						Plastic Omnium_Citybulle_3_A_c					5.791032	45.185001	POINT (5.791031557755974 45.18500118164423)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_383b	220	Nord-Est	Gières		Rue des Arènes / Salle du Laussy			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.793594	45.180995	POINT (5.793594162285979 45.18099472837105)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_383c	221	Nord-Est	Gières		7-11 Grand' Rue (nouvel immeuble + commerces) / Face résidence Les Martinets / Les Jardins d'Elodie			verre		aérien	4	UTPM	Ecobox				2016-08-19		UTPM_Ecobox_4_A_c				2016-08-19	5.789826	45.181777	POINT (5.789825944015745 45.18177729247328)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_383d	222	Nord-Est	Gières		21 Rue Victor Hugo / vers Eglise			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_c					5.790421	45.179648	POINT (5.790420625733175 45.17964827194343)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_383e	223	Nord-Est	Gières		Rue Victor Hugo / en face école de musique / Parc Michal / vers la Cure			verre		aérien	3	Plastic Omnium	Citybulle						Plastic Omnium_Citybulle_3_A_c					5.791377	45.181145	POINT (5.791376648099231 45.181144710545254)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_383f	224	Nord-Est	Gières		13-15 Rue de la Fontaine			verre		aérien	3	Plastic Omnium	Citybulle						Plastic Omnium_Citybulle_3_A_c					5.799947	45.18337	POINT (5.799947030895235 45.18336955759457)
