FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3803	154	Sud	Grenoble	6	Chemin des Alisiers / Rue Paul Helbronner			verre		aérien	3	Quadria	Lineance						Citec__3_A_c					5.741194	45.163993	POINT (5.741193603095908 45.16399289684221)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_384a	235	Nord-Est	Grenoble	2	Place Bir Hakeim			verre		enterré	4	UTPM ??? à mettre à jour	Ecobox ??? à mettre à jour				août 2011		UTPM ??? à mettre à jour_Ecobox ??? à mettre à jour_4_E_c				août 2011	5.736381	45.188714	POINT (5.736380597707617 45.18871438915809)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_384b	236	Nord-Est	Grenoble	2	Rue Hébert (vers Caisse d'Epargne) / Passage sous immeuble			verre		aérien	4	Citec	Cyclea Max						Citec_Cyclea Max_4_A_C					5.737119	45.190704	POINT (5.737119137533782 45.190703827703665)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_384c	237	Sud	Grenoble	4	Chemin de Gordes (près collège Charles Munch)			verre		aérien	2.5	Citec	Cyclea						Citec_Cyclea_2.5_A_c					5.73361	45.17484	POINT (5.733609511788141 45.17484008487377)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_384d	238	Nord-Est	Grenoble	2	46 Avenue Maréchal Randon / Musée (rampe accès livraisons)			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_C					5.733916	45.195248	POINT (5.733915718625208 45.19524772389585)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_384e	239	Nord-Est	Grenoble	2	Rue Lachmann / Quai Jongkind			verre		aérien	4	Citec	Cyclea Max						Citec_Cyclea Max_4_A_C					5.736427	45.201575	POINT (5.736426920335846 45.201575466392036)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_384f	240	Nord-Est	Grenoble	2	Rue Lachmann / Rue Mortillet			verre		aérien	4	Citec	Cyclea Max						Citec_Cyclea Max_4_A_C					5.736616	45.198218	POINT (5.736615553534766 45.19821828895902)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3850	241	Nord-Est	Grenoble	2	Place du Grésivaudan			verre		aérien	3	Citec	Cyclea						Citec_Cyclea_3_A_C					5.73917	45.198967	POINT (5.739169940381774 45.198967170334)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3851	242	Nord-Est	Grenoble	2	Place Lavalette / devant Diocèse			verre		aérien	4	Quadria	Lineance						Quadria_Lineance_4_A_C					5.731847	45.193956	POINT (5.731847434400052 45.19395622403511)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3852	243	Nord-Est	Grenoble	2	17 Chemin du Halage			verre		aérien	4	UTPM	Ecobox				2016-11-24 / 2012 (été)		UTPM_Ecobox_4_A_C				2016-11-24 / 2012 (été)	5.741982	45.198644	POINT (5.741981962144099 45.198643682190074)
