FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b40	1144	Sud	Herbeys		Stade / Tennis / Route de la Côte / Impasse des terrains de sport			verre		aérien	3	SNNECO	Eco-DI			public			SNNECO_Eco-DI_3_A_k					5.792897	45.14225	POINT (5.792897050911281 45.14224954643348)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b41	1145	Sud	Herbeys		Cimetière / Chemin du Villard / Impasse du Cimetière du Bourg			verre		enterré	0	Astech							Astech__0_E_k					5.792798	45.138523	POINT (5.792797850842647 45.1385226964711)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c0c	2044	Sud	Herbeys	Le Bourg	Maison Pour Tous / Bibliothèque / 76 Route de Tavernolles (Route D112)			papier	CA	aérien	1	SNNECO	EcoBois											5.791458	45.139852	POINT (5.791458464982466 45.139851595912255)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c0d	2046	Sud	Herbeys	Le Bourg	Cimetière / Chemin du Villard / Impasse du Cimetière du Bourg			papier	CE	enterré	0	Astech	Eco-Bois											5.792788	45.138518	POINT (5.792770446778401 45.13850474277268)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c5d	2128	Sud	Herbeys	Le Bourg	Stade / Tennis / Route de la Côte / Impasse des terrains de sport			papier	CA	aérien	4	SNNECO	Eco-DI								!!!	!!! Colonne supprimée temporairement !!!		5.79288	45.142247	POINT (5.7928821764619975 45.14224915307548)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c88	3043	Sud	Herbeys		Stade / Tennis / Route de la Côte / Impasse des terrains de sport		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois											5.79288	45.142247	POINT (5.79286715122991 45.142245482268)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c89	3044	Sud	Herbeys		Cimetière / Chemin du Villard / Impasse du Cimetière du Bourg		EMB	emballages	CE	enterré	0	Astech	Eco-Bois											5.792788	45.138518	POINT (5.792746784276964 45.138487545953566)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cdb	3128	Sud	Herbeys		Stade / Tennis / Route de la Côte / Impasse des terrains de sport		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI								2015-06-24	Colonne Emballages supplémentaire ajoutée le 24 juin 2015		5.79288	45.142247	POINT (5.792853239860876 45.142242189464994)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cdf	3132	Sud	Herbeys		Stade / Tennis / Route de la Côte / Impasse des terrains de sport		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI								2015-11-XX	Colonne Emballages supplémentaire ajoutée le 24 juin 2015		5.79288	45.142247	POINT (5.792838257006856 45.14223810882935)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ce0	3133	Sud	Herbeys		Cimetière / Chemin du Villard / Impasse du Cimetière du Bourg		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI								2015-11-XX			5.792788	45.138518	POINT (5.79272006908455 45.13847294660403)
