FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b42	1146	Grand-Sud	Jarrie		Le Plâtre (Haute Jarrie) / Stade / 330 Route du Plâtre			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.74797	45.117908	POINT (5.7479703619800695 45.117908099863804)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b43	1147	Grand-Sud	Jarrie		Tennis (Haute Jarrie) / 1434 Route Général De Gaulle / Lotissement Le Pré du Lou			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_c					5.759754	45.116839	POINT (5.759753918883081 45.116838615000816)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b44	1148	Grand-Sud	Jarrie		Cimetière (Haute Jarrie) / 789 Route de l'Eglise			verre		aérien	4	SNNECO	Eco-Bois						SNNECO_Eco-Bois_4_A_k					5.766341	45.11269	POINT (5.766340889557228 45.112689837605224)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b45	1149	Grand-Sud	Jarrie		La Combe (Bon Repos) / 186 Route de Bon Repos			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.757968	45.109094	POINT (5.757967581637945 45.10909431556021)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b46	1150	Grand-Sud	Jarrie		Halte-garderie (Les Chaberts) / 366 Rue de la Pierre du Perron			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.751098	45.106225	POINT (5.751098440420449 45.10622468129251)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b47	1151	Grand-Sud	Jarrie		Maupertuis (Les Chaberts) / 513-540 Chemin de Maupertuis			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.746535	45.104857	POINT (5.746535060156639 45.104857523514504)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b48	1152	Grand-Sud	Jarrie		Pompiers (Les Charbonnaux) / 707 Chemin du Prieuré (parking derrière caserne)			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.740955	45.101617	POINT (5.740954645261117 45.10161669341584)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b49	1153	Grand-Sud	Jarrie		Salle Malraux (Basse Jarrie) - parking / 1 Montée des Clares			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.74416	45.094432	POINT (5.744160253362152 45.09443184623588)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b4a	1154	Grand-Sud	Jarrie		Salle Malraux (Basse Jarrie) - cuisines / 1 Montée des Clares (accès par chemin derrière bâtiment)			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.745018	45.094464	POINT (5.745018207578268 45.09446358595906)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b4b	1155	Grand-Sud	Jarrie		Stade Pierre Pillet (Basse Jarrie) / 157 Rue Henri Barbusse			verre		aérien	4	SNNECO	Eco-Bois						SNNECO_Eco-Bois_4_A_k					5.744184	45.090524	POINT (5.744184024518785 45.090524070725984)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b4c	1156	Grand-Sud	Jarrie		Parking stade (Basse Jarrie) / 701 Rue du Moulin			verre		aérien	4	SNNECO	Eco-Bois						SNNECO_Eco-Bois_4_A_k					5.741679	45.091228	POINT (5.741678603462418 45.091227617632526)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b4d	1157	Grand-Sud	Jarrie		Ateliers municipaux (Basse Jarrie) / 423 Rue du Moulin (accès livraisons)			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.741084	45.089374	POINT (5.741083871595031 45.08937403706369)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b4e	1158	Grand-Sud	Jarrie		Croix de la Vue (Basse Jarrie) / Place de la Croix de la Vue			verre		enterré	0	Astech							Astech__0_E_k					5.743717	45.085668	POINT (5.743716510386458 45.085668228183344)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c0e	2047	Grand-Sud	Jarrie		Le Plâtre (Haute Jarrie) / Stade / 330 Route du Plâtre			papier	CA	aérien	4	SNNECO	Eco-DI											5.74797	45.117908	POINT (5.747970338556671 45.117908154759384)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c0f	2048	Grand-Sud	Jarrie		Ecole Louvarou (Haute Jarrie) / 20 Rue de la Bascule			papier	CA	aérien	1	SNNECO	Eco-Bois											5.75764	45.116266	POINT (5.757639992331339 45.116266261281424)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c10	2049	Grand-Sud	Jarrie		Tennis (Haute Jarrie) / 1434 Route Général De Gaulle / Lotissement Le Pré du Lou			papier	CA	aérien	4	SNNECO	Eco-DI											5.759754	45.116839	POINT (5.759753899533039 45.11683866971233)
