FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3152	5386	Nord-Est	La-Tronche		3 Rue de l'Isère	Grande Rue	OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Plastic Omnium	Semimax		double tambour			Bon			2017-05-19	Création nouveau site le 19 mai 2017 - Intégration dans BD Carto le 18 juillet 2018		5.735638	45.202637	POINT (5.735638315776176 45.20263677083799)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3170	5387	Nord-Est	La-Tronche		3 Rue de l'Isère	Grande Rue	CS	collecte sélective	CSE	semi-enterré	5	Plastic Omnium	Semimax		trappe			Bon			2017-05-19	Création nouveau site le 19 mai 2017 - Intégration dans BD Carto le 18 juillet 2018		5.735649	45.202626	POINT (5.735648539014701 45.202625894983576)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31be	1045	Nord-Est	La-Tronche		Chemin de la Carronnerie (face au n° 61) / Déchèterie / Athanor		VER	verre	CA	aérien	4	Citec	Cyclea	Citec 4m3 crochet				Bon	Citec__4_A_c				2019-03-19	5.760771	45.198312	POINT (5.760771271900801 45.198312300349194)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31bf	1046	Nord-Est	La-Tronche		Chemin de la Carronnerie (face au n° 61) / Déchèterie / Athanor		VER	verre	CA	aérien	4	Citec	Cyclea	Citec 4m3 crochet				Bon	Citec__4_A_c				2019-03-19	5.760805	45.198243	POINT (5.760804640941463 45.19824309031838)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_328e	5390	Nord-Est	La-Tronche		95 Grande Rue	Grande Rue	CS	collecte sélective	CE	enterré	5	Plastic Omnium	Minimax 4					Bon			2018-06-25			5.738292	45.204891	POINT (5.738291977636849 45.20489086697089)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_328f	5388	Nord-Est	La-Tronche		95 Grande Rue	Grande Rue	OMR	ordures ménagères résiduelles	CE	enterré	5	Plastic Omnium	Minimax 4					Bon			2018-06-25			5.738366	45.204948	POINT (5.738366185203203 45.20494797860427)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3290	5389	Nord-Est	La-Tronche		95 Grande Rue	Grande Rue	OMR	ordures ménagères résiduelles	CE	enterré	5	Plastic Omnium	Minimax 4					Bon			2018-06-25			5.73833	45.204919	POINT (5.738330201655647 45.20491926456302)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3345	526	Nord-Est	La-Tronche		32 Grande Rue (Parc Chevi)		VER	verre	CA	aérien	2.5	Citec						Bon	Citec__2.5_A_c					5.743907	45.206908	POINT (5.7439074057840065 45.20690846935814)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_33f4	537	Nord-Est	La-Tronche		1 Rue Jean de la Fontaine / Centre commercial Doyen Gosse (face à la Poste) / Devant église		VER	verre	CA	aérien	4	Citec	Cyclea Max					Bon	Citec_Cyclea Max_4_A_c					5.753089	45.202524	POINT (5.75308916869913 45.20252357644235)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_33f5	528	Nord-Est	La-Tronche		10-12 Grande Rue (face au 23) / Parking des Cèdres		VER	verre	CE	enterré	4	Citec						Bon	Citec__4_E_k					5.746437	45.207357	POINT (5.746437158617606 45.20735707147227)
