FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3291	588	Grand-Sud	Le-Pont-de-Claix		104 Cours Saint André (limite Echirolles) / Restaurant Courtepaille		VER	verre	CA	aérien	3	Citec	Cyclea					Sale	Citec_Cyclea_3_A_c					5.703332	45.140434	POINT (5.703331915540944 45.14043374936233)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3292	581	Grand-Sud	Le-Pont-de-Claix		2-4 Avenue des Iles de Mars / entrée collège		VER	verre	CA	aérien	2.5	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c					5.697247	45.13029	POINT (5.697246528937865 45.13029044195246)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3295	564	Grand-Sud	Le-Pont-de-Claix		26-30 Cours Saint André / Rue Marcelline		VER	verre	CA	aérien	2.5	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c					5.698641	45.126752	POINT (5.698641263583345 45.126751778135294)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3296	568	Grand-Sud	Le-Pont-de-Claix		3 Rue Franz Schubert		VER	verre	CA	aérien	4	Quadria	Linéance					Sale	Citec_Cyclea_4_A_c					5.697012	45.123802	POINT (5.697012473484058 45.12380230473273)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3297	563	Grand-Sud	Le-Pont-de-Claix		45 Cours Saint André / Résidence Joliot Curie / proximité CCAS		VER	verre	CA	aérien	2.5	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c					5.698863	45.128391	POINT (5.698862985719102 45.12839148586658)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3298	560	Grand-Sud	Le-Pont-de-Claix		60 Cours Saint André		VER	verre	CA	aérien	2.5	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c					5.700073	45.130966	POINT (5.700072822995621 45.13096642090396)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_329a	554	Grand-Sud	Le-Pont-de-Claix		70 Cours Saint André / Supermarché Dia		VER	verre	CA	aérien	4	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c				2019-01-21	5.701245	45.134443	POINT (5.701244702968028 45.13444329721821)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_329b	555	Grand-Sud	Le-Pont-de-Claix		71-73 Cours Saint André (Résidence Saint André)		VER	verre	CA	aérien	4	Quadria	Linéance					Bon	Citec_Cyclea_4_A_c				2019-01-21	5.701209	45.135655	POINT (5.701209047562389 45.13565488070684)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_329c	1055	Grand-Sud	Le-Pont-de-Claix		75 Cours Saint André (commerces) / Avenue Général Roux		VER	verre	CA	aérien	3	Quadria	Linéance					Bon	Citec_Cyclea_3_A_c					5.701649	45.137055	POINT (5.701649096078165 45.137054548985446)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a3	558	Grand-Sud	Le-Pont-de-Claix		7-9 Rue Stendhal		VER	verre	CA	aérien	3	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c				2019-01-21	5.697468	45.132183	POINT (5.697467787876824 45.13218255760883)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a6	585	Grand-Sud	Le-Pont-de-Claix		AFPA - CFPA / 38 Avenue Victor Hugo / Bâtiment 13 (à l'intérieur du domaine)		VER	verre	CA	aérien	3	Citec	Cyclea	Citec Cycléa 3m3 crochet				Bon	Inconnue_Inconnu_3_A_c				2018-10-19	5.699933	45.135659	POINT (5.6999326287133885 45.13565859464898)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a8	556	Grand-Sud	Le-Pont-de-Claix		Allée Albert Camus (vers n° 9) / Olympiades		VER	verre	CA	aérien	4	Quadria	Linéance					Bon	Citec_Cyclea_2.5_A_c				2019-01-21	5.699378	45.13421	POINT (5.6993778829479895 45.13420958058946)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a9	1054	Grand-Sud	Le-Pont-de-Claix		Complexe sportif Louis Maisonnat / Rue Louis Maisonnat / Rue Aristide Bergès / ZI des Iles		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.692581	45.132114	POINT (5.692581498877192 45.13211429397629)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32aa	574	Grand-Sud	Le-Pont-de-Claix		Déchèterie / 43 Avenue du Maquis de l'Oisans / Eglise		VER	verre	CA	aérien	3	SNNECO	Eco-Bois	Citec_Cyclea Max_c_4,2_A_till_????-??-??				Sale	Citec_Cyclea Max_4.2_A_c					5.70157	45.120269	POINT (5.701570071520992 45.120269138885384)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32ab	567	Grand-Sud	Le-Pont-de-Claix		Place des Alpes (Place du Marché)		VER	verre	CA	aérien	4	Quadria	Linéance					Bon	Citec_Cyclea_4_A_c					5.694594	45.124035	POINT (5.694594000748525 45.12403499544953)
