FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3148	4022	Nord-Est	Le-Sappey-en-Chartreuse		Entrée village / Crèche / La Charmette / Route du Col de Porte (Route D512)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.777139	45.259226	POINT (5.7771391026853465 45.25922593492956)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3149	4021	Nord-Est	Le-Sappey-en-Chartreuse		La Jacobine / Foyer ski / Route de la Jacobine (parking)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-10			5.778946	45.258555	POINT (5.778876359079418 45.258533215001016)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314a	4026	Nord-Est	Le-Sappey-en-Chartreuse		La Virette / Camping / Ecole / Place des Justes		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.77628	45.260037	POINT (5.776288487885904 45.26002033245961)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314b	4039	Nord-Est	Le-Sappey-en-Chartreuse		Pont de Prallières / Route de Prallières / Route de Jaillères		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.778599	45.262319	POINT (5.778598677205365 45.262318596545434)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314c	4025	Nord-Est	Le-Sappey-en-Chartreuse		La Virette / Camping / Ecole / Place des Justes		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.776241	45.260058	POINT (5.776316758133201 45.260003927315246)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314d	4018	Nord-Est	Le-Sappey-en-Chartreuse		Le Gouillat / Route du Col de Porte (Route D512)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.770775	45.254621	POINT (5.770785816979361 45.254618724738116)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314e	4027	Nord-Est	Le-Sappey-en-Chartreuse		Les Beauches / Route de l'Achard / Chemin des Beauches		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.77176	45.260051	POINT (5.771760253462442 45.2600513028129)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3150	3143	Nord-Est	Le-Sappey-en-Chartreuse		Entrée village / Crèche / La Charmette / Route du Col de Porte (Route D512)		EMB	emballages	CSE	semi-enterré	5	Bauer	GTE					Bon			2016-12-02	Conteneur semi-enterré OMR transformé en conteneur Emballages		5.777104	45.259181	POINT (5.777104300792582 45.25918094970898)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3151	4023	Nord-Est	Le-Sappey-en-Chartreuse		Entrée village / Crèche / La Charmette / Route du Col de Porte (Route D512)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.777106	45.259187	POINT (5.777202646469319 45.25920100943589)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3153	4019	Nord-Est	Le-Sappey-en-Chartreuse		Le Gouillat / Route du Col de Porte (Route D512)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.770904	45.254618	POINT (5.770862171670876 45.25461912630295)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3154	4020	Nord-Est	Le-Sappey-en-Chartreuse		Le Gouillat / Route du Col de Porte (Route D512)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.771032	45.254609	POINT (5.770910275511056 45.25461520826917)
