FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3183	990	Nord-Est	Meylan		Chemin des Prèles / Chemin des Sétérées du Dessous (dans logette à côté hôtel Kyriad)		VER	verre	CA	aérien	1.5	Citec	Cyclea					Bon	Citec_Cyclea_1.5_A_c		2009-11-25			5.785008	45.207776	POINT (5.78500819831963 45.20777612553555)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3184	1003	Nord-Est	Meylan		Chemin du Monarié / Gymnase du Charlaix		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2009-11-25		2017-04-26	5.799676	45.211154	POINT (5.799676406299165 45.21115376778538)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_319b	1326	Sud	Meylan		Chemin des Sayettes (face au n° 40)		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria Linéance 3m3 crochet V2055A, puce							2019-06-05	Nouveau site de collecte		5.768290295	45.212749138	POINT (5.768290294877826 45.21274917939276)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31b7	993	Nord-Est	Meylan		Chemin de Bérivière (restaurant lycée Grésivaudan côté logette)		VER	verre	CA	aérien	3	Citec	Cyclea	Citec Cycléa 3m3 crochet				Bon	Citec_Cyclea_3_A_c		2009-11-25		2019-01-31	5.785007	45.215718	POINT (5.7850065878612265 45.215717600546675)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_329e	1021	Nord-Est	Meylan		12-16 Chemin de Jaillères / terrains de tennis		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c		2009 août 12			5.789162	45.224258	POINT (5.789161628430612 45.22425807088478)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a2	3166	Nord-Est	Meylan		23 Chemin du Vieux Chêne		EMB	emballages	CA	aérien	4	STCM	Polytri								2018-11-22	Nouveau site de collecte (expérimention 6 mois)		5.790307053	45.208170405	POINT (5.7903070529670275 45.208170445646964)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a5	996	Nord-Est	Meylan		5 Rue de Chenevière / Passage des Grubins		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2009-11-25			5.790592	45.212285	POINT (5.790592352992375 45.21228549879046)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32ff	1331	Nord-Est	Meylan		10 Chemin des Prêles		VER	verre	CA	aérien	3	Citec	Cyclea	"Citec 3m3 Crochet, puce E7390482000028BE; gps "							2019-09-06	Nouveau site de collecte		5.784577663	45.208887777	POINT (5.784577662890555 45.20888781798858)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_340f	1037	Nord-Est	Meylan		13 Allée des Eyminées		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.777354	45.206758	POINT (5.777353860262419 45.206757574530165)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3410	982	Nord-Est	Meylan		13 Avenue de Verdun / Résidence les 4 Seigneurs		VER	verre	CA	aérien	3	Citec	Cyclea				2014-02-20	Usé	Citec_Cyclea_3_A_c		2009-11-25		2014-02-20	5.772292	45.210208	POINT (5.772292016954661 45.21020795831052)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3411	1017	Nord-Est	Meylan		13-19 Chemin de Rochasson / vers impasse St Eynard		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c		2009 août 12			5.787573	45.221742	POINT (5.787572911972058 45.22174160487962)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3412	1039	Nord-Est	Meylan		18-34 Avenue de Verdun (entre Hôtel Mercure et avenue de la Plaine Fleurie)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2 avril 2010			5.760393	45.20255	POINT (5.7603927344919486 45.202550183019035)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3413	1019	Nord-Est	Meylan		2 Allée du Pré Catlan (dans logette)		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c		2009-11-25			5.787643	45.23071	POINT (5.787643252236334 45.23071030144786)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3414	964	Nord-Est	Meylan		2 Boulevard des Alpes (parking centre commercial - face station essence Carrefour)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2008			5.762193	45.202051	POINT (5.762193042762769 45.202051491294334)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3415	978	Nord-Est	Meylan		21 Avenue du Vercors (face à la piscine)		VER	verre	CA	aérien	3	Citec	Cyclea					Usé	Citec_Cyclea_3_A_c		2009 nov 26			5.774637	45.208555	POINT (5.774637343612204 45.20855484457506)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3418	977	Nord-Est	Meylan		23 Avenue du Vercors (Résidence L'Emendra) / face crêche		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2009-11-25			5.774089	45.20775	POINT (5.7740887884011824 45.20775000308093)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3419	973	Nord-Est	Meylan		23 Rue Champ Rochas (entrée parc de Champ Rochas - face entrée résid. Manoir)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c					5.760565	45.207984	POINT (5.760565211187572 45.20798418534265)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_341b	997	Nord-Est	Meylan		25 Rue de Chenevière / Impasse du Tramier (dans logette)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2009-11-25			5.78961	45.214461	POINT (5.789610259294227 45.2144610522201)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_341c	984	Nord-Est	Meylan		27-29 Avenue de Chamrousse (arrêt de bus) / Chemin de Chaumetière		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c		2009 nov 26			5.771161	45.212459	POINT (5.771160781388049 45.21245885773982)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_341d	1038	Nord-Est	Meylan		3 bis Allée des Centaurées (discothèque ''Le Phoénix'')		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		4 mars 2010			5.76505	45.203555	POINT (5.76505008600466 45.20355466711881)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_341e	988	Nord-Est	Meylan		3-5 Allée des Eyminées		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2009-11-25			5.779694	45.206716	POINT (5.779694385358827 45.20671638817989)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_341f	971	Nord-Est	Meylan		36-40 Rue du Pré d'Elle (sur parking côté parc des Aiguinards)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2008			5.761772	45.204467	POINT (5.7617719377650225 45.204467258356146)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3420	976	Nord-Est	Meylan		37 Avenue du Vercors (sur parking contre allée)		VER	verre	CA	aérien	4	Citec	Cyclea					Usé	Citec_Cyclea_4_A_c					5.770655	45.205604	POINT (5.770654953550608 45.205603929619755)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3421	987	Nord-Est	Meylan		39 Chemin de la Taillat (logements gendarmerie)		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2009-11-25			5.780268	45.208202	POINT (5.780267748194572 45.20820194084782)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3422	966	Nord-Est	Meylan		40-42 Avenue Plaine Fleurie / Rue de la Grange (devant laboratoire analyse)		VER	verre	CA	aérien	3	Citec	Cyclea					Sale	Citec_Cyclea_3_A_c		2008			5.760132	45.20378	POINT (5.7601324874200985 45.203780296967984)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3423	968	Nord-Est	Meylan		4-12 Avenue Plaine Fleurie / Allée de la Roseraie / Rue Champ Rochas		VER	verre	CA	aérien	2.5	Citec	Cyclea					Usé	Citec_Cyclea_2.5_A_c		2009 nov 16			5.757041	45.206267	POINT (5.757040790282401 45.206266762437366)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3424	1020	Nord-Est	Meylan		42 Chemin de l'Eglise (parking)		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c		2009-11-25			5.788336	45.227741	POINT (5.788336112050152 45.22774112241532)
