FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b15	1097	Nord-Ouest	Proveysieux		Pomarey / Salle des fêtes			verre		aérien	4	SNNECO	EcoBois/EcoDI				Plateforme de tri		SNNECO_EcoBois/EcoDI_4_A_c				Plateforme de tri	5.710273	45.282373	POINT (5.710272580148001 45.28237262365744)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b16	1098	Nord-Ouest	Proveysieux		Grange Haute			verre		aérien	4	SNNECO	EcoBois/EcoDI				Plateforme de tri		SNNECO_EcoBois/EcoDI_4_A_c				Plateforme de tri	5.696771	45.248322	POINT (5.696771146049241 45.24832182427869)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3be9	2001	Nord-Ouest	Proveysieux		Grange Haute			papier	CA	aérien	4	SNNECO	Eco-Bois											5.696781	45.248382	POINT (5.696780801862965 45.24838206179036)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bea	2002	Nord-Ouest	Proveysieux		Pomarey / Salle des fêtes			papier	CA	aérien	4	SNNECO	Eco-Bois											5.710273	45.282373	POINT (5.710272557878141 45.2823726789105)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c62	3001	Nord-Ouest	Proveysieux		Grange Haute		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois											5.696759	45.248272	POINT (5.696759121826086 45.24827191198052)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c63	3002	Nord-Ouest	Proveysieux		Pomarey / Salle des fêtes		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois											5.710273	45.282373	POINT (5.710272557878141 45.2823726789105)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ce2	3135	Nord-Ouest	Proveysieux		Ecole / Route du Gua (D105)		EMB	emballages	CA	aérien	4	STCM	Polytri								2016-08-24			5.699628	45.263342	POINT (5.699627585296882 45.263342355297695)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cf0	3153	Nord-Ouest	Proveysieux		Grange Haute		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois								2018-04-18	Colonne Emballages supplémentaire sur site pré-existant		5.696783	45.248439	POINT (5.696782608152443 45.24843912377066)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cf8	4001	Nord-Ouest	Proveysieux		Grange Haute (CSE droit)			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		double tambour			bon		2018-06	2015-06			5.696734	45.248161	POINT (5.696734167035402 45.2481609964468)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cf9	4002	Nord-Ouest	Proveysieux		Grange Haute (CSE gauche)			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		double tambour			bon		2018-06	2015-06			5.696753	45.248207	POINT (5.696752839641696 45.24820715274296)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cfa	4003	Nord-Ouest	Proveysieux		Ecole (CSE gauche)			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			bon		2018-06	2015-06			5.699584	45.263279	POINT (5.699583807434657 45.26327856714466)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cfb	4004	Nord-Ouest	Proveysieux		Ecole (CSE droit)			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			bon		2018-06	2015-06			5.699604	45.263309	POINT (5.699604117198477 45.26330858063021)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cfc	4005	Nord-Ouest	Proveysieux		Pomarey - Salle des fêtes - Bibliothèque			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			bon		2018-06	2015-06			5.710578	45.282402	POINT (5.710578426199937 45.282402464955126)
