FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3164	4006	Nord-Ouest	Quaix-en-Chartreuse		Bas de Quaix / Route de Saint Egrève		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.700341	45.253424	POINT (5.700360859476303 45.253377128742265)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3165	4013	Nord-Ouest	Quaix-en-Chartreuse		CHU - Centre de loisirs / 2477 Route de Clémencière		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.726865	45.245914	POINT (5.726865177598204 45.24591451417558)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3166	4014	Nord-Ouest	Quaix-en-Chartreuse		Combe Blanche / 1382 Route de Sarcenas		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.730373	45.24629	POINT (5.730372941310437 45.246290467554985)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3167	4009	Nord-Ouest	Quaix-en-Chartreuse		Ecole / 215 Route de Clémencières		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.720131	45.253225	POINT (5.720130614643592 45.25322516053895)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3168	4010	Nord-Ouest	Quaix-en-Chartreuse		Ecole / 215 Route de Clémencières		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.720181	45.25324	POINT (5.72018092645445 45.25324006386171)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3169	4016	Nord-Ouest	Quaix-en-Chartreuse		L'Aragnat / Route du Sappey		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.731796	45.237138	POINT (5.731796472848804 45.23713787657212)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_316a	4012	Nord-Ouest	Quaix-en-Chartreuse		Le Charpen / 7 Route de la Croix de Chorre		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.725474	45.242293	POINT (5.72547355696912 45.242292750718335)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_316b	4011	Nord-Ouest	Quaix-en-Chartreuse		Hameau de Vence - Centre aéré ''Les Scilles du Néron'' / 140 Chemin de l'Autre Côté de Vence		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.721146	45.24743	POINT (5.721145951897135 45.247429732294556)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_316c	4015	Nord-Ouest	Quaix-en-Chartreuse		Montquaix - Carrière Vicat / Route de Sarcenas		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.742384	45.249439	POINT (5.742384072367793 45.2494391888491)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_316d	4007	Nord-Ouest	Quaix-en-Chartreuse		Pétesset - Maupertuis / 149-259 Route du Gua		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.712689	45.257359	POINT (5.712689432880067 45.257359133888244)
