FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3187	1335	Nord-Ouest	Saint-Egrève		Place Barnave / Rue Casimir Brenier / Parking		VER	verre	CA	aérien	4	Quadria	Linéance	Quadria 4m3 Crochet V2074A							2019-11-04	Nouveau site de collecte		5.677548124	45.235371348	POINT (5.677548123726555 45.235371388853906)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3197	5444	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	CS	collecte sélective	CE	enterré											2019-11-08			5.679658318	45.230865357	POINT (5.679658317780753 45.230865398313995)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31db	719	Nord-Ouest	Saint-Egrève		Avenue de Karben / Balladin / Parking rocher escalade		VER	verre	CA	aérien	4	Citec	Cyclea	Citec 4m3 crochet			2010 (décembre)	Bon	Alpes Composites_Inconnu_4_A_c				2018-01-24	5.67813	45.24436	POINT (5.678129859310621 45.24435963884714)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ec	5445	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	CS	collecte sélective	CE	enterré											2019-11-08			5.679638379	45.230854733	POINT (5.679638379074401 45.230854773747616)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_321e	5446	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	CS	collecte sélective	CE	enterré											2019-11-08			5.67961695	45.230842757	POINT (5.67961695021751 45.23084279767857)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3238	5447	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	CS	collecte sélective	CE	enterré											2019-11-08			5.679597006	45.230832006	POINT (5.679597005632495 45.23083204721234)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3247	1336	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys		VER	verre	CE	enterré														5.679659724	45.230853478	POINT (5.679745102322647 45.230913277543976)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34cd	1096	Nord-Ouest	Saint-Egrève		22ter-24-26 Rue de la Chartreuse		VER	verre	CE	enterré	4	Citec						Bon	Citec__4_E_k		2015-03-XX	Installation colonne aérienne provisoire avant mise en place colonne enterrée définitive (2015-12-15)		5.667277	45.245212	POINT (5.667277045789516 45.24521216396931)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_351a	718	Nord-Ouest	Saint-Egrève		31 Avenue de Karben / Rond point Hôtel / Face rocher Escalade		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Bon	Alpes Composites_Inconnu_3_A_c					5.676675	45.244788	POINT (5.676675108258905 45.24478784990675)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_351b	720	Nord-Ouest	Saint-Egrève		60-102 Avenue de Karben		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Bon	Alpes Composites_Inconnu_3_A_c					5.678701	45.244017	POINT (5.678700630146088 45.24401710175381)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_351c	721	Nord-Ouest	Saint-Egrève		Avenue de Karben / Rue de l'Angelus / Zone d'activités Gavanières		VER	verre	CA	aérien	2.5	Citec	Cyclea					Usé	Citec_Cyclea_2.5_A_c					5.678512	45.24128	POINT (5.678512468202171 45.24127977182537)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3520	741	Nord-Ouest	Saint-Egrève		50 Rue Casimir Brenier		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Usé	Alpes Composites_Inconnu_3_A_c					5.680064	45.237129	POINT (5.680063713367658 45.237129023533605)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3521	738	Nord-Ouest	Saint-Egrève		Rue Clapières (face au n° 2b) / Cimetière		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Bon	Alpes Composites_Inconnu_3_A_c					5.684243	45.240835	POINT (5.684242528713899 45.24083543558466)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3522	745	Nord-Ouest	Saint-Egrève		Rue des Sablons / Rue des Verdiers / Avenue du Collège		VER	verre	CA	aérien	3	UTPM	Ecobox					Bon	UTPM_Ecobox_3_A_c					5.684745	45.230946	POINT (5.684744632409875 45.23094594844787)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35df	1235	Nord-Ouest	Saint-Egrève		25 Avenue Général De Gaulle / Commerces / Faubourg		VER	verre	CE	enterré	0	-						Bon	-__0_E_					5.680236	45.231775	POINT (5.6802362487680504 45.23177548833535)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_364d	5441	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	OMR	ordures ménagères résiduelles	CE	enterré											2019-11-08			5.679739379	45.230909085	POINT (5.679723453994768 45.2309004244121)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_364e	5442	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	OMR	ordures ménagères résiduelles	CE	enterré											2019-11-08			5.679721803	45.230899414	POINT (5.679700012235 45.230887361141406)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_364f	5443	Nord-Ouest	Saint-Egrève		21 Rue de la Contamine / Mas des Lys	Mas des Lys	OMR	ordures ménagères résiduelles	CE	enterré											2019-11-08			5.679678446	45.23087623	POINT (5.6796784464485235 45.23087627049705)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3656	744	Nord-Ouest	Saint-Egrève		10 Rue de l'Isère		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crcohet				Bon	Alpes Composites_Inconnu_3_A_c				2017-12-15	5.68137	45.228422	POINT (5.681369982174574 45.22842239327671)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3658	755	Nord-Ouest	Saint-Egrève		13 Rue de l'Industrie		VER	verre	CA	aérien	4	Citec	Cyclea				janvier 2011	Bon	Citec_Cyclea_4_A_c				janvier 2011	5.678029	45.224129	POINT (5.678028710743377 45.22412898946445)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_365b	743	Nord-Ouest	Saint-Egrève		15 Rue de la Contamine / Les Mas Perrichaud		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crcohet				Bon	Alpes Composites_Inconnu_3_A_c				2017-12-15	5.67659	45.231419	POINT (5.676590317817298 45.23141922523113)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_365c	737	Nord-Ouest	Saint-Egrève		1-5 Avenue Médecin Général Viallet (logette) / Rue Charmant Som		VER	verre	CA	aérien	4	Citec	Cyclea				2014-03-03	Usé	Citec_Cyclea_4_A_c				2014-03-03	5.688619	45.237895	POINT (5.688619050534721 45.237895528203474)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_365d	731	Nord-Ouest	Saint-Egrève		16 Rue de Combariel / Fiancey		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Bon	Alpes Composites_Inconnu_3_A_c					5.691701	45.224711	POINT (5.691700926629334 45.22471150197735)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_365e	728	Nord-Ouest	Saint-Egrève		16-18 Rue des Glairaux (dans virage) / ZI Cap de H		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.672681	45.2229	POINT (5.672681315387123 45.222899741499745)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_365f	1261	Nord-Ouest	Saint-Egrève		14 Rue Louis Besançon (parking Leroy Merlin)		VER	verre	CA	aérien	4	Quadria	Linéance	Quadria 4m3 crochet			2017-12-15	Bon	Citec_Cyclea Max_4.2_A_c		2017-09-29		2017-12-15	5.66497	45.241211	POINT (5.664970417376015 45.24121092585749)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3660	734	Nord-Ouest	Saint-Egrève		2 Rue des Brieux / Stade Jean Balestas		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Bon	Alpes Composites_Inconnu_3_A_c					5.69228	45.232352	POINT (5.69228024798753 45.23235191974723)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3661	730	Nord-Ouest	Saint-Egrève		2 Rue du 19 mars 1962 / Fiancey / Trésor Public / Crèche		VER	verre	CA	aérien	3	Alpes Composites	Inconnu					Usé	Alpes Composites_Inconnu_3_A_c					5.688663	45.224257	POINT (5.688663296905484 45.224257119577025)
