FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b59 1169 Grand-Sud Saint-Georges-de-Commiers  Les Isles / 870-1230 Rues des Isles   verre  enterré 0 Astech     2016-03  Astech__0_E_k    2016-03 5.707711 45.049961 POINT (5.70771108603555 45.049961216420726)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b5a 1170 Grand-Sud Saint-Georges-de-Commiers  EHPAD / Lotissement Balcons des Condamines / Rue des Tillerets / Impasse de la Frênaie   verre  enterré 0 Astech       Astech__0_E_k     5.708009 45.045545 POINT (5.708009037652456 45.04554520553494)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b5b 1171 Grand-Sud Saint-Georges-de-Commiers  Parking ancienne poste / 455 Montée de la Peyrela   verre  enterré 0 Citec       Citec__0_E_k     5.70117 45.043488 POINT (5.701170189262137 45.0434878719066)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b5c 1172 Grand-Sud Saint-Georges-de-Commiers  Mairie / Stade / Gymnase des Combettes / 1 Rue de la Mairie   verre  enterré 0 Citec       Citec__0_E_k     5.701234 45.039578 POINT (5.701234377807014 45.039578514967296)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b5d 1173 Grand-Sud Saint-Georges-de-Commiers  Combe des Guiberts / La Souchère / 42 Avenue de la Résistance   verre  enterré 0 Astech       Astech__0_E_k     5.705719 45.039 POINT (5.705719129057093 45.03900020784622)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b5e 1174 Grand-Sud Saint-Georges-de-Commiers  Saint Pierre / Parking Eglise   verre  enterré 0 Citec       Citec__0_E_k     5.706404 45.028444 POINT (5.706403734040363 45.028443817334605)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c28 2073 Grand-Sud Saint-Georges-de-Commiers  Les Isles / 870-1230 Rues des Isles  PAP papier CE enterré 0 Astech           2016-03 5.707711 45.049961 POINT (5.707702644204225 45.049951776046015)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c29 2074 Grand-Sud Saint-Georges-de-Commiers  EHPAD / Lotissement Balcons des Condamines / Rue des Tillerets / Impasse de la Frênaie   papier CE enterré 0 Astech Eco-Bois           5.708009 45.045545 POINT (5.707994370019177 45.045524602383566)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c2a 2075 Grand-Sud Saint-Georges-de-Commiers  Parking ancienne poste / 455 Montée de la Peyrela   papier CE enterré 0 Citec Eco-Bois           5.70117 45.043488 POINT (5.701164914147525 45.04349734004128)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c2b 2076 Grand-Sud Saint-Georges-de-Commiers  Mairie / Stade / Gymnase des Combettes / 1 Rue de la Mairie   papier CE enterré 0 Citec Eco-Bois           5.701234 45.039579 POINT (5.701209510408938 45.03958319369658)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c2c 2077 Grand-Sud Saint-Georges-de-Commiers  Combe des Guiberts / La Souchère / 42 Avenue de la Résistance   papier CE enterré 0 Astech Eco-Bois           5.705719 45.039 POINT (5.705706086064908 45.039015117378035)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c2d 2078 Grand-Sud Saint-Georges-de-Commiers  Saint Pierre / Parking Eglise   papier CE enterré 0 Citec Eco-Bois           5.706404 45.028444 POINT (5.706397642848855 45.02846017274194)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca6 3074 Grand-Sud Saint-Georges-de-Commiers  Les Isles / 870-1230 Rues des Isles  EMB emballages CE enterré 0 Astech           2016-03 5.707711 45.049961 POINT (5.707694589001327 45.049943677814845)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca7 3075 Grand-Sud Saint-Georges-de-Commiers  EHPAD / Lotissement Balcons des Condamines / Rue des Tillerets / Impasse de la Frênaie  EMB emballages CE enterré 0 Astech Eco-Bois           5.708009 45.045545 POINT (5.707979645835106 45.04550233320429)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca8 3076 Grand-Sud Saint-Georges-de-Commiers  Parking ancienne poste / 455 Montée de la Peyrela  EMB emballages CE enterré 0 Citec Eco-Bois           5.70117 45.043488 POINT (5.701160561514924 45.04350894649415)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca9 3077 Grand-Sud Saint-Georges-de-Commiers  Mairie / Stade / Gymnase des Combettes / 1 Rue de la Mairie  EMB emballages CE enterré 0 Citec Eco-Bois           5.701234 45.039579 POINT (5.70118469683418 45.039588628180354)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3caa 3078 Grand-Sud Saint-Georges-de-Commiers  Combe des Guiberts / La Souchère / 42 Avenue de la Résistance  EMB emballages CE enterré 0 Astech Eco-Bois           5.705719 45.039 POINT (5.705693157439806 45.03902995972546)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cab 3079 Grand-Sud Saint-Georges-de-Commiers  Saint Pierre / Parking Eglise  EMB emballages CE enterré 0 Citec Eco-Bois           5.706404 45.028444 POINT (5.706392750448988 45.02847725413781)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cde 3131 Grand-Sud Saint-Georges-de-Commiers  Saint Pierre / Parking Eglise  EMB emballages CA aérien 0 SNNECO Eco-Bois        2015-10-XX Installation colonne aérienne emballages en plus de la colonne enterrée existante en octobre 2015 (semaine 42)  5.706336 45.028462 POINT (5.706387651791439 45.02849335357445)
