FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3537	831	Nord-Ouest	Saint-Martin-Le-Vinoux		1-3 Rue du 8 mai 1945 / Cimetière village		VER	verre	CA	aérien	3	Plastic Omnium	Citybulle					Bon	Plastic Omnium_Citybulle_3_A_c					5.717543	45.203436	POINT (5.717542959435995 45.20343600429782)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3538	830	Nord-Ouest	Saint-Martin-Le-Vinoux		2520 Route de Narbonne / Hameau de Narbonne		VER	verre	CA	aérien	3	Plastic Omnium	Citybulle					Bon	Plastic Omnium_Citybulle_3_A_c					5.709885	45.214514	POINT (5.709884917845841 45.21451396447051)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3539	834	Nord-Ouest	Saint-Martin-Le-Vinoux		29 Rue Pierre Sémard / Rue Jean Moulin / Epicerie / Garage Renault		VER	verre	CA	aérien	3	Citec	Cyclea					Usé	Citec_Cyclea_3_A_c					5.695797	45.214495	POINT (5.695797232351188 45.21449476864898)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_353a	838	Nord-Ouest	Saint-Martin-Le-Vinoux		Route de Clémencières RD 57 (début de la route en limite de Grenoble) / Rue de la Libération		VER	verre	CA	aérien	3	Plastic Omnium	Citybulle					Bon	Plastic Omnium_Citybulle_3_A_c					5.719531	45.199482	POINT (5.719531404501082 45.199482221146674)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36a6	832	Nord-Ouest	Saint-Martin-Le-Vinoux		11 Rue Conrad Killian / Pique Pierre		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 Crochet V1987A				Bon	Plastic Omnium_Citybulle_3_A_c				2019-01-31	5.708019	45.207668	POINT (5.708019240699114 45.2076683781079)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36a7	833	Nord-Ouest	Saint-Martin-Le-Vinoux		2 Rue Pierre Sémard / Rue des Rosiers / Salle des fêtes des Moaïs		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 Crochet V1986A				Bon	Plastic Omnium_Citybulle_3_A_c				2019-01-31	5.69994	45.212484	POINT (5.6999401019733495 45.212484221502095)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36ab	1293	Nord-Ouest	Saint-Martin-Le-Vinoux		138-218 Rue Félix Faure / Eglise		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2018-06-01	Nouveau site de collecte		5.693786	45.214235	POINT (5.693786237527952 45.2142350361577)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36ac	1292	Nord-Ouest	Saint-Martin-Le-Vinoux		207 Rue de la Maladière / Collège		VER	verre	CA	aérien	3	Quadria	Linéance					Bon	Quadria_Linéance_3_A_c		2018-06-01	Nouveau site de collecte		5.690569	45.218403	POINT (5.690568768300539 45.218403105739036)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36ae	829	Nord-Ouest	Saint-Martin-Le-Vinoux		Mas Caché (parking) / 2656 Route de Clémencières / Rue le Mas Caché		VER	verre	CA	aérien	4	Plastic Omnium	Citybulle	Citec 4m3				Sale	Plastic Omnium_Citybulle_3_A_c				2017-12-15	5.721961	45.217314	POINT (5.721961193222426 45.21731423247249)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36af	835	Nord-Ouest	Saint-Martin-Le-Vinoux		Rue du Petit Lac / Rue Félix Faure		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 Crochet V1983A				Bon	Plastic Omnium_Citybulle_3_A_c				2019-01-31	5.691951	45.216453	POINT (5.691951468683431 45.2164530424536)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b0	836	Nord-Ouest	Saint-Martin-Le-Vinoux		2863 Rue du Petit Lac / Espace Hubert Dubedout / Restaurant scolaire		VER	verre	CA	aérien	4	Quadria	Linéance	Quadria 4m3 Crochet V1938A				Bon	Plastic Omnium_Prima Linea Select_3_A_c				2019-01-31	5.693363	45.216914	POINT (5.693362933927547 45.21691410421657)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b1	1234	Nord-Ouest	Saint-Martin-Le-Vinoux		27 Avenue Général Leclerc RD 1075 (face au n°54) / Parking pointe Bergonzoli		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 Crochet V1991A				Bon	UTPM_Ecobox_3_A_c				2019-01-31	5.70308	45.210107	POINT (5.703079862575943 45.2101068266039)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b2	1314	Nord-Ouest	Saint-Martin-Le-Vinoux		292/300 Rue de la Maladière		VER	verre	CA	aérien	3	Quadria	Linéance					Bon			2019-01-31	Nouveau site de collecte		5.691094	45.219259	POINT (5.691094332643055 45.21925923780784)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b3	1295	Nord-Ouest	Saint-Martin-Le-Vinoux		550-624 Route de Narbonne		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c		2018-06-01	Nouveau site de collecte		5.706842	45.20958	POINT (5.706842194611221 45.20958045491401)
