FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d0 758 Nord-Est Saint-Martin-d'Hères  Avenue Marcel Cachin / Rue Lénine   verre  aérien 3 UTPM Ecobox    2014-05  UTPM_Ecobox_3_A_c    2014-05 5.756624 45.160318 POINT (5.756624356713329 45.16031764099047)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d1 759 Nord-Est Saint-Martin-d'Hères  Rue Doyen Gosse / Avenue Jacques Prévert (rond point école Condorcet)   verre  aérien 4 Citec Cyclea      Citec_Cyclea_4_A_c     5.763643 45.162593 POINT (5.7636426981883035 45.162593210183324)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d2 760 Nord-Est Saint-Martin-d'Hères  Rue Doyen Gosse / Rue Antoine (commerces)   verre  aérien 4 Citec Cyclea Max      Citec_Cyclea Max_4_A_c     5.767521 45.162067 POINT (5.767520518836178 45.16206705879421)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d3 761 Nord-Est Saint-Martin-d'Hères  Place de la Libérté / Avenue de la Galochère (face au n° 32) / Village   verre  aérien 3 Citec Cyclea      Citec_Cyclea_3_A_c     5.768266 45.16487 POINT (5.768265942197938 45.16486961589296)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d4 762 Nord-Est Saint-Martin-d'Hères  106-110 Avenue de la Galochère (stade de rugby Robert Barran)   verre  aérien 2.5 Citec Cyclea      Citec_Cyclea_2.5_A_c     5.768473 45.169402 POINT (5.768473361769549 45.16940251376438)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d5 763 Nord-Est Saint-Martin-d'Hères  Rue Commandant Komarov (face au n° 13) / Parking cimetière des Alloves   verre  aérien 4 Citec Cyclea    2012 (juillet)  Citec_Cyclea_4_A_c    2012 (juillet) 5.767752 45.171843 POINT (5.767752028202651 45.171843468002656)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d6 764 Nord-Est Saint-Martin-d'Hères  Rue Normandie Niemen (face au n° 1) / Les Alloves / Terminus bus   verre  aérien 2.5 Citec Cyclea      Citec_Cyclea_2.5_A_c     5.765371 45.172218 POINT (5.7653705295267965 45.17221777007879)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d7 766 Nord-Est Saint-Martin-d'Hères  4 Rue Emile Combe / Commerces / 2   verre  aérien 2.5 Citec Cyclea      Citec_Cyclea_2.5_A_c     5.76366 45.169813 POINT (5.763659795089301 45.16981321195547)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d8 767 Nord-Est Saint-Martin-d'Hères  Rue Fontenelle / Avenue Romain Rolland   verre  aérien 3 Quadria Lineance      Citec_Cyclea_3_A_c     5.76189 45.167706 POINT (5.76189006377697 45.16770637442511)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39d9 768 Nord-Est Saint-Martin-d'Hères  Avenue Jacques Prévert / Impasses Eugène Varlin   verre  aérien 2.5 Citec Cyclea      Citec_Cyclea_2.5_A_c     5.764697 45.16423 POINT (5.764697139671372 45.16422955007881)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39da 769 Nord-Est Saint-Martin-d'Hères  5 Avenue Romain Rolland / MJC   verre  aérien 3 Quadria Lineance      Citec_Cyclea_3_A_c     5.76298 45.167267 POINT (5.762980101969414 45.1672672806371)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39db 770 Nord-Est Saint-Martin-d'Hères  Avenue Potié / Rue Henri Barbusse   verre  aérien 3 Quadria Lineance      Citec_Cyclea_3_A_c     5.759295 45.170483 POINT (5.759295021508817 45.17048322706238)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39dc 771 Nord-Est Saint-Martin-d'Hères  5 Rue Garcia Lorca / Marché Chamberton (vers toilettes)   verre  aérien 3 Quadria Lineance      UTPM_Ecobox_3_A_c     5.759521 45.169274 POINT (5.759520782250644 45.16927367812666)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39dd 772 Nord-Est Saint-Martin-d'Hères  Rue Henri Wallon / Avenue Potié / Parking terminus tram Etienne Grappe   verre  aérien 3 Quadria Lineance      Citec_Cyclea_3_A_c     5.757991 45.172054 POINT (5.757990599993586 45.17205445780848)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39de 773 Nord-Est Saint-Martin-d'Hères  Avenue Potié / Rue Edmond Rostand (Parking devant Crèche Jeanne Labourbe) / Quartier Renaudie   verre  aérien 3 Quadria Lineance      Quadria_Lineance_3_A_c     5.756534 45.172471 POINT (5.756533678376824 45.172471295719085)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39df 774 Nord-Est Saint-Martin-d'Hères  35 Rue Henri Wallon / Rue Montaigne / Pompiers / Lycée Pablo Néruda   verre  aérien 2.5 Quadria Lineance      Citec_Cyclea_2.5_A_c     5.762006 45.174723 POINT (5.762005557293783 45.17472326051575)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_39e0 775 Nord-Est Saint-Martin-d'Hères  Rue Henri Wallon (devant square, jeux pour enfants) / Face au Collège Henri Wallon   verre  aérien 2.5 Citec Cyclea      Citec_Cyclea_2.5_A_c     5.763431 45.175417 POINT (5.763430713632841 45.175417522261)
