FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3216	2080	Grand-Sud	Saint-Pierre-de-Mésage		Chavance / Mairie / Rue de la Chavance (parking en début de rue)		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Sale						5.764411	45.053075	POINT (5.76438550095452 45.05307586262684)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3217	2081	Grand-Sud	Saint-Pierre-de-Mésage		Le Pont / Parking / 203 Rue du Pont (parking en bout d'impasse)		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Sale						5.767221	45.057497	POINT (5.767197928796342 45.057493793734764)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3218	2079	Grand-Sud	Saint-Pierre-de-Mésage		Les Peyrauds / Rue de l'Oratoire / Montée de la Rhine		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Sale						5.760469	45.053333	POINT (5.760461363204733 45.05334421298055)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3310	1176	Grand-Sud	Saint-Pierre-de-Mésage		Place de l'Eglise		VER	verre	CA	aérien	2.5	Citec	Cyclea					Sale	Citec_Cyclea_2.5_A_c					5.764143	45.050527	POINT (5.764143420062958 45.05052743010042)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_331a	1175	Grand-Sud	Saint-Pierre-de-Mésage		Les Peyrauds / Rue de l'Oratoire / Montée de la Rhine		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Sale	SNNECO_Eco-DI_3_A_k					5.760469	45.053333	POINT (5.760468855710303 45.053333477170106)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35c1	1177	Grand-Sud	Saint-Pierre-de-Mésage		Chavance / Mairie / Rue de la Chavance (parking en début de rue)		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Sale	SNNECO_Eco-DI_3_A_k					5.764411	45.053075	POINT (5.76441055970645 45.05307520304667)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35c2	1178	Grand-Sud	Saint-Pierre-de-Mésage		Le Pont / Parking / 203 Rue du Pont (parking en bout d'impasse)		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Sale	SNNECO_Eco-DI_3_A_k					5.767221	45.057497	POINT (5.767221142274778 45.05749747562466)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3805	3081	Grand-Sud	Saint-Pierre-de-Mésage		Chavance / Mairie / Rue de la Chavance (parking en début de rue)		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.764363	45.053076	POINT (5.764362728112462 45.05307641355906)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3806	3082	Grand-Sud	Saint-Pierre-de-Mésage		Le Pont / Parking / 203 Rue du Pont (parking en bout d'impasse)		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.767176	45.05749	POINT (5.76717634004387 45.05749053472711)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3807	3080	Grand-Sud	Saint-Pierre-de-Mésage		Les Peyrauds / Rue de l'Oratoire / Montée de la Rhine		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.760455	45.053355	POINT (5.760455046453676 45.05335486991792)
