FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b20	1109	Nord-Est	Sarcenas		Le Pied du Croz / Route D57			verre		aérien	4	SNNECO	EcoBois/EcoDI				Conteneurs semi-enterrés		SNNECO_EcoBois/EcoDI_4_A_c				Conteneurs semi-enterrés	5.757794	45.276535	POINT (5.757794215025732 45.27653524580087)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b21	1110	Nord-Est	Sarcenas		Hôtel-Restaurant Cartusia / Col de Porte / Route D512			verre		aérien	3	STCM	Polytri				2016-09-01		STCM_Polytri_3_A_k				2016-09-01	5.767233	45.290399	POINT (5.767233026865474 45.29039936380592)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3be0	1309	Nord-Est	Sarcenas		Hôtel-restaurant les 3 Sommets / Route du Charmant Som		VER	verre	CA	aérien	4	STCM	Polytri						STCM_Polytri_4_A_k		2018-12-05	Installation PAV Verre à côté des PAV OMR		5.765053	45.294376	POINT (5.765052651609276 45.294376216642014)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bf4	2012	Nord-Est	Sarcenas		Le Pied de Croz / RD 57 / Chemin de Croz			papier	CA	aérien	4	SNNECO	Eco-Bois			public								5.757826	45.276675	POINT (5.757825700901064 45.27667474473227)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c6c	3011	Nord-Est	Sarcenas		Le Pied de Croz / RD 57 / Chemin de Croz		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois										Conteneurs semi-enterrés	5.757968	45.276207	POINT (5.757967619777203 45.27620682845878)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cf6	3159	Nord-Est	Sarcenas		Hôtel-restaurant les 3 Sommets / Route du Charmant Som		EMB	emballages	CA	aérien	5	STCM	Polytri								2018-12-12	Installation PAV Emballages à côté du PAV OMR		0	0	POINT (5.765109081752644 45.29442207980686)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d14	4031	Nord-Est	Sarcenas		Le Pied du Croz (CSE droit) / Route D57			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe	public		bon		2018-06	2015-06			5.757898	45.27673	POINT (5.7578984274454985 45.276730080256335)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d15	4032	Nord-Est	Sarcenas		Le Pied du Croz (CSE gauche) / Route D57			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			bon		2018-06	2015-10			5.757976	45.276777	POINT (5.757975814002035 45.276777457820636)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d16	4033	Nord-Est	Sarcenas		Hôtel-restaurant les 3 Sommets (CSE bas - côté route) / Route du Charmant Som			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			hors service		2018-06	2015-06			5.765073	45.294408	POINT (5.764995614646304 45.29433866773252)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d17	4034	Nord-Est	Sarcenas		Hôtel-restaurant les 3 Sommets (CSE haut - côté hôtel) / Route du Charmant Som			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			hors service		2018-06	2015-06			5.764961	45.294313	POINT (5.764918277658372 45.294290900649536)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d1d	4040	Nord-Est	Sarcenas		Le Pied du Croz (nouveau CSE) / Route D57			ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			bon		2018-06	2015-06			5.757833	45.276676	POINT (5.757833360303216 45.276675858943534)
