FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_353c	853	Nord-Ouest	Sassenage		Chemin des Vergnats (accès cimetière du Bourg) / Rue des Engenières / Route de Villard de Lans RD 531 (rond point)		VER	verre	CA	aérien	4	Citec	Cyclea	Citec 4m3 crochet				Bon	UTPM_PV400_4_A_c				2018-06-26	5.655591	45.212404	POINT (5.655591039377007 45.21240402433578)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_353d	866	Nord-Ouest	Sassenage		21-23 Rue du Billery / Esplanade mairie / devant logette		VER	verre	CA	aérien	3	UTPM	Ecobox				2013 (mars)	Bon	UTPM_Ecobox_3_A_c				2013 (mars)	5.664217	45.206495	POINT (5.664216509904745 45.20649540798638)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_353e	859	Nord-Ouest	Sassenage		3 bis Rue de Chamechaude		VER	verre	CA	aérien	4	Citec	Cyclea				janvier 2011	Bon	Citec_Cyclea_4_A_c				janvier 2011	5.683345	45.206945	POINT (5.683344595253701 45.20694541504659)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_353f	854	Nord-Ouest	Sassenage		Rue des Marguerites / Allée de Bellevue / Les Côtes		VER	verre	CA	aérien	3	Plastic Omnium	Citybulle					Bon	Plastic Omnium_Citybulle_3_A_c					5.644405	45.211993	POINT (5.644405432156893 45.211992549609775)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35a2	1077	Nord-Ouest	Sassenage		21-23 Rue du Billery / Esplanade mairie / devant logette		VER	verre	CA	aérien	3	UTPM	Ecobox				2013 (mars)	Bon	UTPM_Ecobox_3_A_c				2013 (mars)	5.664287	45.206493	POINT (5.6642865031673475 45.20649330629327)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b6	846	Nord-Ouest	Sassenage		10-16 Rue du Plaçage / Rue Béranger / Château		VER	verre	CA	aérien	3	Citec	Cyclea	Citec 3m3 crochet				Bon	UTPM_PV400_4_A_c				2018-06-26	5.659611	45.211209	POINT (5.659610536363088 45.21120855804233)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b7	962	Nord-Ouest	Sassenage		2 ter Rue Pierre de Coubertin / District de Foot / Services techniques / SDIS		VER	verre	CA	aérien	2.5	Citec	Cyclea					Usé	Citec_Cyclea_2.5_A_c					5.668568	45.213402	POINT (5.6685676674677845 45.21340192628363)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b8	850	Nord-Ouest	Sassenage		20 Chemin du Bac / Déchèterie		VER	verre	CA	aérien	4	UTPM	Ecobox						UTPM_Ecobox_4_A_c					5.668799	45.218544	POINT (5.668799294177176 45.21854386707909)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36b9	864	Nord-Ouest	Sassenage		21 Avenue de la Falaise / Chemin de Fontaine / Rue du Pré du Bourg / Chemin du Vinay		VER	verre	CA	aérien	2	UTPM	Ecobox					Bon	UTPM_Ecobox_2_A_c					5.660447	45.205397	POINT (5.660447422295017 45.20539670614447)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36bb	863	Nord-Ouest	Sassenage		4 Rue de la République / Ecole de Musique		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria V1853A 3m3 Crochet				Bon	UTPM_PV400_4_A_c				2018-06-26	5.661989	45.206703	POINT (5.661989284631624 45.20670283042893)
