FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31e9	897	Nord-Ouest	Seyssinet-Pariset		Avenue du Vercors / Rue de la Résistance / Résidence Belvedère		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet N°V1823A			janvier 2011	Bon	Citec_Cyclea_4_A_c				2018-02-09	5.686799	45.176462	POINT (5.6867988332907355 45.17646155187197)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31eb	872	Nord-Ouest	Seyssinet-Pariset		Avenue du Vercors / Rue du Moucherotte		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet N°V1820A				Bon	EcoVert_Inconnu_2.5_A_c				2018-02-09	5.687564	45.180083	POINT (5.687564139160976 45.18008352933862)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31f3	892	Nord-Ouest	Seyssinet-Pariset		5 Rue Aimé Bouchayer / Ecole Vercors / Lycée Aristide Bergès		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet V1852A				Bon	EcoVert_Inconnu_2.5_A_c				2018-07-04	5.694685	45.185589	POINT (5.694684519207788 45.18558874207108)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31fc	871	Nord-Ouest	Seyssinet-Pariset		Av de Grenoble / Av Victor Hugo		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet V1772A				Bon	EcoVert__2.5_A_c				2018-07-04	5.694518	45.170943	POINT (5.6945179480687615 45.170943421779086)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34f8	875	Nord-Ouest	Seyssinet-Pariset		Village / 40-42 Avenue Hector Berlioz (D106b) / Chemin des Fusillés		VER	verre	CA	aérien	2.5	EcoVert	Inconnu					Usé	EcoVert__2.5_A_c					5.680314	45.169483	POINT (5.680314064210753 45.169483273206396)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_354b	874	Nord-Ouest	Seyssinet-Pariset		19 Avenue Victor Hugo / Caserne pompiers		VER	verre	CA	aérien	2.5	EcoVert	Inconnu					Bon	EcoVert_Inconnu_2.5_A_c					5.694042	45.178375	POINT (5.694042009297429 45.178374558662654)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_354c	879	Nord-Ouest	Seyssinet-Pariset		610 Route de Saint Nizier (D106b) / La Tour Sans Venin / arrêt bus		VER	verre	CA	aérien	2.5	EcoVert	Inconnu					Usé	EcoVert_Inconnu_2.5_A_c					5.666808	45.170935	POINT (5.666808203678528 45.170934574968)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3552	898	Nord-Ouest	Seyssinet-Pariset		83 Rue de l'Industrie / Résidence personnes agées Les Saulnes		VER	verre	CA	aérien	4	UTPM	Ecobox				2012-11-27	Bon	UTPM_Ecobox_4_A_c				2012-11-27	5.697885	45.178229	POINT (5.697884824674019 45.17822892125385)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36e4	873	Nord-Ouest	Seyssinet-Pariset		115 Avenue de la République / Station essence		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet N°V1856A				Bon	EcoVert_Inconnu_2.5_A_c				2018-07-04	5.697032	45.175648	POINT (5.697031993607078 45.175647620971404)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36e5	886	Nord-Ouest	Seyssinet-Pariset		11 Avenue de la Houille Blanche / Rue de Pacalaire		VER	verre	CA	aérien	3	Citec	Cyclea	Citec 3m3 crochet				Bon	EcoVert_Inconnu_2.5_A_c				2018-07-04	5.692872	45.178651	POINT (5.692872414000849 45.1786508982627)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36e6	883	Nord-Ouest	Seyssinet-Pariset		13-15 Rue Général Mignot / Centre technique municipal (Atelier 1) / Eglise Notre Dame des Iles		VER	verre	CA	aérien	3	Citec	Cyclea	Citec 3m3 crochet				Bon	EcoVert_Inconnu_2.5_A_c				2018-07-04	5.69599	45.181373	POINT (5.69598967604738 45.18137293014483)
