FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3145	1244	Nord-Ouest	Seyssins		79-81 Avenue de Claix (ilôts C1/C3)		VER	verre	CE	enterré	4	Citec						Sale	Citec__4_E_k					5.6786	45.149923	POINT (5.678599861337422 45.149923024180495)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34f9	908	Nord-Ouest	Seyssins		35-49 Route de Saint Nizier / Rue du Priou / Rue de la Paix		VER	verre	CA	aérien	3	UTPM	Ecobox					Sale	UTPM_Ecobox_3_A_c					5.67843	45.157314	POINT (5.678430438302158 45.15731426613931)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34fa	1259	Nord-Ouest	Seyssins		4 Rue Jean Moulin / Hôtel Campanile		VER	verre	CA	aérien	2	Citec	Cyclea					Sale	Citec_Cyclea_2_A_c		2017-09-21			5.697195	45.160192	POINT (5.697194773660811 45.160192274475556)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34fc	913	Nord-Ouest	Seyssins		58 Rue des Allobroges / Camping		VER	verre	CA	aérien	4	Citec	Cyclea				2010 (décembre)	Sale	Citec_Cyclea_4_A_c				2010 (décembre)	5.699032	45.166937	POINT (5.699032453259926 45.16693730965557)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3553	916	Nord-Ouest	Seyssins		Parking Intermarché / Brasserie du Rondeau / 112 Rue de la Liberté		VER	verre	CA	aérien	4	Citec	Cyclea				2010 (décembre)	Sale	Citec_Cyclea_4_A_c				2010 (décembre)	5.696117	45.16007	POINT (5.696116919213719 45.16006970064792)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3554	899	Nord-Ouest	Seyssins		Stade Jean Beauvallet / 32 Rue Henri Dunant		VER	verre	CA	aérien	4	Citec	Cyclea					Sale	Citec_Cyclea_4_A_c					5.693557	45.164441	POINT (5.6935574024549105 45.164441347897046)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36fb	907	Nord-Ouest	Seyssins		10-12 Rue des Fenouillères (transformateur) / intersection avec Avenue de Claix		VER	verre	CA	aérien	2.5	EcoVert	Inconnu					Usé	EcoVert_Inconnu_2.5_A_c					5.679329	45.152367	POINT (5.679328657103927 45.152367439167385)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36fd	905	Nord-Ouest	Seyssins		16 Rue du Docteur Schweitzer / Parking Botanic / Face Hôtel Kyriad		VER	verre	CA	aérien	4	UTPM	Ecobox				2016-11-18	HS	UTPM_Ecobox_4_A_c				2016-11-18	5.694827	45.15923	POINT (5.694827072491265 45.15923051735677)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36fe	915	Nord-Ouest	Seyssins		2-14 Avenue Louis Armand / Parking commerces Centre Sud		VER	verre	CA	aérien	3	Citec	Cyclea					Sale	Citec_Cyclea_3_A_c					5.694027	45.169752	POINT (5.69402686917117 45.16975247299821)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_36ff	910	Nord-Ouest	Seyssins		31 Avenue de la Poste / Parking		VER	verre	CA	aérien	4	UTPM	Ecobox					Sale	UTPM_Ecobox_4_A_c					5.68228	45.157971	POINT (5.682280252602991 45.157970808423165)
