FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b63	1179	Grand-Sud	Séchilienne		Les Rivoirans			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.794243	45.054781	POINT (5.794242659006143 45.05478118314583)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b64	1180	Grand-Sud	Séchilienne		Le Grand Serre (lotissement)			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.827189	45.054515	POINT (5.827188628539025 45.05451551947682)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b65	1181	Grand-Sud	Séchilienne		Mairie			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.834213	45.055199	POINT (5.834212547952834 45.055198786127406)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b66	1182	Grand-Sud	Séchilienne		Mairie			verre		aérien	3	SNNECO	Eco-DI						SNNECO_Eco-DI_3_A_k					5.834221	45.05518	POINT (5.834220727044152 45.0551801888426)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c31	2082	Grand-Sud	Séchilienne		Les Rivoirans			papier	CA	aérien	4	SNNECO	Eco-DI											5.794243	45.054781	POINT (5.794225372690346 45.05477762074778)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c32	2083	Grand-Sud	Séchilienne		Le Grand Serre (lotissement)			papier	CA	aérien	4	SNNECO	Eco-DI											5.827189	45.054516	POINT (5.827184073012859 45.05453654413635)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c33	2084	Grand-Sud	Séchilienne		Mairie / 1			papier	CA	aérien	4	SNNECO	Eco-DI											5.834156	45.055185	POINT (5.834190845000568 45.0551752733793)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c34	2085	Grand-Sud	Séchilienne		Mairie / 2			papier	CA	aérien	4	SNNECO	Eco-DI											5.834156	45.055185	POINT (5.8341848514656025 45.055192388337886)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3caf	3083	Grand-Sud	Séchilienne		Les Rivoirans		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI											5.794243	45.054781	POINT (5.79421053349764 45.05477383260401)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb0	3084	Grand-Sud	Séchilienne		Le Grand Serre (lotissement)		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI											5.827189	45.054516	POINT (5.827182883125649 45.054558789442844)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb1	3085	Grand-Sud	Séchilienne		Mairie / 1		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI											5.834156	45.055185	POINT (5.834156283154265 45.05518508291918)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb2	3086	Grand-Sud	Séchilienne		Mairie / 2		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI											5.834156	45.055185	POINT (5.8341611399124655 45.055167997939144)
