FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32cf	917	Grand-Sud	Varces-Allières-et-Risset		28 Rue Léo Lagrange / Pompiers		VER	verre	CA	aérien	3	EcoVert	Inconnu					Bon	EcoVert_Inconnu_3_A_c					5.685625	45.087109	POINT (5.685625320889702 45.087108773314554)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32e1	926	Grand-Sud	Varces-Allières-et-Risset		7 Avenue de Provence / Déchèterie		VER	verre	CA	aérien	3	UTPM	Ecobox					Sale	UTPM_Ecobox_3_A_c					5.681621	45.084639	POINT (5.681620744488917 45.08463875546246)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3301	924	Grand-Sud	Varces-Allières-et-Risset		3 Rue de la Pissarde / Le Risset / Cimetière / Chapelle		VER	verre	CA	aérien	4	Citec	Cyclea				2014-07-03	Sale	Citec_Cyclea_4_A_c				2014-07-03	5.672696	45.106565	POINT (5.6726958608302 45.10656522467071)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_330e	923	Grand-Sud	Varces-Allières-et-Risset		39 Route du Pavillon		VER	verre	CA	aérien	3	Citec	Islea	Citec 3m3 Isléa			2017-05-18	Bon	Citec_Islea_3_A_c				2017-05-18	5.682667	45.104829	POINT (5.682667235869621 45.10482912192117)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3323	1051	Grand-Sud	Varces-Allières-et-Risset		48 rue du Vercors (à 50 mètres du n°48 en direction de St Paul de Varces)		VER	verre	CA	aérien	3	UTPM	Ecobox				2015-09-22	Bon	UTPM_Ecobox_3_A_c				2015-09-22	5.677581	45.085977	POINT (5.677581257645403 45.08597714099018)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3324	929	Grand-Sud	Varces-Allières-et-Risset		Route D 1075 / Le Petit Rochefort / Scierie Nier		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.684306	45.098163	POINT (5.684305903325575 45.098163407638424)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_332f	1052	Grand-Sud	Varces-Allières-et-Risset		Route du Martinais d'en Haut		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2011 mai			5.668337	45.089711	POINT (5.6683369631883505 45.0897106647968)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3330	928	Grand-Sud	Varces-Allières-et-Risset		Rue Charles Beylier / Face au kiosque du Parc Beylier / vers rond-point de l'école		VER	verre	CA	aérien	3	Quadria	Linéance				2012 (décembre)	Bon	UTPM_Ecobox_3_A_c				2012 (décembre)	5.681358	45.089582	POINT (5.681357557651116 45.08958185588904)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_333e	918	Grand-Sud	Varces-Allières-et-Risset		Rue Léo Lagrange (au niveau du pont / côté rue de la Passerelle)		VER	verre	CA	aérien	3	EcoVert	Inconnu					Bon	EcoVert_Inconnu_3_A_c					5.688469	45.086746	POINT (5.688468836613287 45.086745560535)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3341	930	Grand-Sud	Varces-Allières-et-Risset		Salle de spectacle l'Oriel / Avenue Joliot Curie / Espace Charles de Gaulle		VER	verre	CA	aérien	2.5	Citec	Cyclea					Bon	Citec_Cyclea_2.5_A_c					5.683774	45.088882	POINT (5.683773802600962 45.088882071584784)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3342	925	Grand-Sud	Varces-Allières-et-Risset		Zone rue du Pré de l'Orme		VER	verre	CA	aérien	2.5	Citec	Cyclea					Sale	Citec_Cyclea_2.5_A_c					5.685851	45.107278	POINT (5.685851131600488 45.107277994312945)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3346	922	Grand-Sud	Varces-Allières-et-Risset		Rue de l'Industrie / Parking Intermarché		VER	verre	CA	aérien	4	Quadria	Linéance	Quadria 4m3 crochet V1930A				Bon	UTPM_Ecobox_2_A_c				2018-10-31	5.682541	45.097471	POINT (5.682541057671602 45.09747091436426)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3355	1091	Grand-Sud	Varces-Allières-et-Risset		Rue des Saules / Eco-Quartier de la Giraudière		VER	verre	CA	aérien	4	Quadria	Linéance	Quadria Linéance 4m3 crochet V1936A				Bon	UTPM_Ecobox_4_A_c		2014-11-03	matériel neuf au 2014-11-03	2018-12-11	5.676681	45.095902	POINT (5.676680571653717 45.09590247457648)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3489	921	Grand-Sud	Varces-Allières-et-Risset		10 Rue Gabriel Péri / Rue du Portail Rouge		VER	verre	CA	aérien	3	Citec	Cyclea	Citec_Cyclea_3_A_c			2017-05-18	Bon	Citec_Islea_4_A_c				2018-08-02	5.678875	45.088808	POINT (5.678875083336742 45.088808504375855)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3496	1093	Grand-Sud	Varces-Allières-et-Risset		Rue des Tanneurs / Rue de la Ganterie (devant commerces)		VER	verre	CA	aérien	4	Quadria	Linéance	Quadria 4m3 crochet V1926A				Bon	UTPM_Ecobox_3_A_c		2015-01-19	matériel neuf au 2015-01-19	2018-10-31	5.683624	45.095993	POINT (5.6836239615010955 45.095993427366295)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_349a	1310	Grand-Sud	Varces-Allières-et-Risset		8 Rue Charles De Gaulle / Parking		VER	verre	CA	aérien	3	Citec	Cyclea					Bon	Citec_Cyclea_3_A_c		2018-12-11	Nouveau site de collecte		5.6848	45.089118	POINT (5.684800215147469 45.08911810708859)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35a1	1065	Grand-Sud	Varces-Allières-et-Risset		Rue de la Pissarde / Impasse des Marais		VER	verre	CA	aérien	3	UTPM	Ecobox					Sale	UTPM_Ecobox_3_A_c		2012 (janvier)			5.678386	45.110549	POINT (5.678385613940294 45.110548784713686)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_37a9	919	Grand-Sud	Varces-Allières-et-Risset		36 Route de Fontagneux / Terrains de tennis		VER	verre	CA	aérien	3	UTPM	Ecobox				2014-11-05	Bon	UTPM_Ecobox_3_A_c				2014-11-05	5.694802	45.08714	POINT (5.694801844110948 45.08714049651106)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_37aa	920	Grand-Sud	Varces-Allières-et-Risset		Place de la République		VER	verre	CA	aérien	4	Citec	Cyclea					Bon	Citec_Cyclea_4_A_c					5.682151	45.086166	POINT (5.682150778484952 45.08616648189754)
