FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b67 1183 Grand-Sud Vaulnaveys-le-Bas  Ozanam / 200 Avenue des Vaulnaveys (colonne à l'intérieur de la propriété - accès cuisines)   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.804723 45.112857 POINT (5.804722691972926 45.11285670529545)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b68 1184 Grand-Sud Vaulnaveys-le-Bas  Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.807809 45.112784 POINT (5.807808997243225 45.11278398743382)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b69 1185 Grand-Sud Vaulnaveys-le-Bas  Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.807803 45.112769 POINT (5.807803347435205 45.11276860448727)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b6a 1186 Grand-Sud Vaulnaveys-le-Bas  Montée de Montchaffrey / 301 Route de la Gorge   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.821549 45.110011 POINT (5.821549160090484 45.11001055786917)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b6b 1187 Grand-Sud Vaulnaveys-le-Bas  Les Peillets (marbrier) / 160 Promenade de la Lavée   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.795863 45.101447 POINT (5.795862738890577 45.10144672684082)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b6c 1188 Grand-Sud Vaulnaveys-le-Bas  Camping L'Imprévu (parking accueil) / 62 Chemin des Molières   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.801925 45.100889 POINT (5.801925254652924 45.100889399785395)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b6d 1189 Grand-Sud Vaulnaveys-le-Bas  Le Plâtre / IDF / 49 Chemin des Cottes   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.794037 45.093862 POINT (5.794037244119158 45.09386236371544)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c35 2086 Grand-Sud Vaulnaveys-le-Bas  Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs   papier CA aérien 4 SNNECO Eco-DI           5.807809 45.112784 POINT (5.807799535634324 45.11275438301124)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c36 2087 Grand-Sud Vaulnaveys-le-Bas  Montée de Montchaffrey / 301 Route de la Gorge   papier CA aérien 5 SNNECO Eco-Bois           5.821549 45.110011 POINT (5.8215318403017005 45.11001127349386)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c37 2088 Grand-Sud Vaulnaveys-le-Bas  Les Peillets (marbrier) / 160 Promenade de la Lavée   papier CA aérien 4 SNNECO Eco-DI           5.795863 45.101447 POINT (5.795848622540736 45.10145496786164)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c38 2089 Grand-Sud Vaulnaveys-le-Bas  Camping L'Imprévu (parking accueil) / 62 Chemin des Molières   papier CA aérien 4 SNNECO Eco-Bois           5.801913 45.100867 POINT (5.801908951469783 45.10087101804562)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c39 2090 Grand-Sud Vaulnaveys-le-Bas  Le Plâtre / IDF / 49 Chemin des Cottes   papier CA aérien 4 SNNECO Eco-DI           5.794037 45.093862 POINT (5.794021627225232 45.09384664095305)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c5a 2125 Grand-Sud Vaulnaveys-le-Bas  Ozanam / 200 Avenue des Vaulnaveys (colonne à l'intérieur de la propriété - à droite dans la cour depuis entrée principale)   papier CA aérien 5 SNNECO Eco-Bois           5.806386 45.113409 POINT (5.806358723236839 45.11346285254195)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb3 3087 Grand-Sud Vaulnaveys-le-Bas  Ozanam / 200 Avenue des Vaulnaveys (colonne à l'intérieur de la propriété - accès cuisines)  EMB emballages CA aérien 4 SNNECO Eco-DI           5.804722 45.112856 POINT (5.8047210346082405 45.11282281595645)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb4 3088 Grand-Sud Vaulnaveys-le-Bas  Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs / 1 (lattes verticales)  EMB emballages CA aérien 4 SNNECO Eco-DI           5.807809 45.112784 POINT (5.807793950237051 45.11273975305543)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb5 3089 Grand-Sud Vaulnaveys-le-Bas  Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs / 2 (lattes horizontales)  EMB emballages CA aérien 4 SNNECO Eco-DI / Eco-Bois           5.807809 45.112784 POINT (5.807788678050641 45.112725338717766)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cb6 3090 Grand-Sud Vaulnaveys-le-Bas  Montée de Montchaffrey / 301 Route de la Gorge  EMB emballages CA aérien 4 SNNECO Eco-DI           5.821549 45.110011 POINT (5.821512678960774 45.110011512057845)
