FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b6e 1190 Grand-Sud Vaulnaveys-le-Haut  Tuilerie 1 - Rond-point / 45 Impasse de la Carrière   verre  enterré 0 -     2016-09-xx  -__0_E_k    2016-09-xx 5.825347 45.136318 POINT (5.825346629517821 45.13631794922417)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b6f 1191 Grand-Sud Vaulnaveys-le-Haut  Tuilerie 2 - Champey / 355 Route de Prémol (parking) / Chemin de Champey   verre  aérien 3 SNNECO Eco-DI Type bois     SNNECO_Eco-DI_3_A_k     5.824835 45.132923 POINT (5.824834579643344 45.13292273016877)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b70 1192 Grand-Sud Vaulnaveys-le-Haut  Belmont / 1650-1750 Route de Prémol / Chemin de la Chapelle   verre  aérien 3 SNNECO Eco-DI Type bois     SNNECO_Eco-DI_3_A_k     5.828747 45.121792 POINT (5.828746895360876 45.121792455577484)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b71 1193 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.804249 45.12211 POINT (5.804248940460158 45.12211051238734)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b72 1194 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.804246 45.122086 POINT (5.8042461037937185 45.12208623740031)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b73 1195 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E   verre  aérien 4 Qadria Bois Citec_Cyclea_2,5_c_A_till_????-??-??     Citec_Cyclea_2.5_A_c     5.804285 45.122109 POINT (5.804285341736368 45.12210945110926)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b74 1196 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E   verre  aérien 4 Qadria Bois Citec_Cyclea_2,5_c_A_till_????-??-??     Citec_Cyclea_2.5_A_c     5.804283 45.122084 POINT (5.804283275937096 45.12208415504296)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b75 1197 Grand-Sud Vaulnaveys-le-Haut  Champ de Foire / Salle polyvalente / Bibliothèque / Impasse du Champ de Foire   verre  aérien 3 SNNECO Eco-DI Type bois     SNNECO_Eco-DI_3_A_k     5.809423 45.1197 POINT (5.809423245608402 45.11969954236599)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b76 1198 Grand-Sud Vaulnaveys-le-Haut  Stade Daniel Petiot / 47 Avenue d'Uriage / Parking à l'angle avec Chemin du Stade   verre  aérien 4 SNNECO Eco-Bois Type bois     SNNECO_Eco-Bois_4_A_k     5.807358 45.114668 POINT (5.807357631691519 45.114668403562625)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c3a 2091 Grand-Sud Vaulnaveys-le-Haut  Tuilerie 1 - Rond-point / 45 Impasse de la Carrière   papier CE enterré 0 SNNECO Eco-Bois          2016-09-xx 5.825347 45.136318 POINT (5.825329972439697 45.13630468179018)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c3b 2092 Grand-Sud Vaulnaveys-le-Haut  Tuilerie 2 - Champey / 355 Route de Prémol (parking) / Chemin de Champey   papier CA aérien 4 SNNECO Eco-DI Type bois          5.824835 45.132923 POINT (5.824828909228979 45.13294309388752)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c3c 2093 Grand-Sud Vaulnaveys-le-Haut  Belmont / 1650-1750 Route de Prémol / Chemin de la Chapelle   papier CA aérien 4 SNNECO Eco-DI Type bois          5.828747 45.121792 POINT (5.828721470235265 45.12178545136855)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c3d 2094 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E / 1   papier CA aérien 4 UTPM Ecobox           5.804242 45.122036 POINT (5.804241673726949 45.12203556094085)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c3e 2095 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E / 2   papier CA aérien 4 UTPM Ecobox           5.80428 45.122033 POINT (5.804279723634469 45.12203316776645)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c3f 2096 Grand-Sud Vaulnaveys-le-Haut  Champ de Foire / Salle polyvalente / Bibliothèque / Impasse du Champ de Foire   papier CA aérien 4 SNNECO Eco-DI Type bois          5.809423 45.1197 POINT (5.809402003436924 45.11968557630056)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c40 2097 Grand-Sud Vaulnaveys-le-Haut  Stade Daniel Petiot / 47 Avenue d'Uriage / Parking à l'angle avec Chemin du Stade   papier CA aérien 4 SNNECO Eco-DI Type bois          5.807358 45.114668 POINT (5.807366058720044 45.11467794523903)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cba 3094 Grand-Sud Vaulnaveys-le-Haut  Tuilerie 1 - Rond-point / 45 Impasse de la Carrière  EMB emballages CE enterré 0 SNNECO Eco-Bois          2016-09-xx 5.825347 45.136318 POINT (5.825314630307489 45.13629134339575)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cbb 3095 Grand-Sud Vaulnaveys-le-Haut  Tuilerie 2 - Champey / 355 Route de Prémol (parking) / Chemin de Champey  EMB emballages CA aérien 5 SNNECO Eco-Bois           5.824835 45.132923 POINT (5.824824270730483 45.132964617099624)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cbc 3096 Grand-Sud Vaulnaveys-le-Haut  Déchèterie / Mas des Bessins / Route D5E  EMB emballages CA aérien 5 SNNECO Eco-Bois           5.804246 45.122061 POINT (5.80424573376952 45.12206087148242)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cbd 3097 Grand-Sud Vaulnaveys-le-Haut  Champ de Foire / Salle polyvalente / Bibliothèque / Impasse du Champ de Foire  EMB emballages CA aérien 5 SNNECO Eco-Bois           5.809423 45.1197 POINT (5.809376936156817 45.119668545277534)
