FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a79	934	Grand-Sud	Vif		Salle des fêtes (parking derrière bâtiment) / Accès par rue du Polygone			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.668278	45.056708	POINT (5.6682782360837205 45.056708187424995)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a7a	935	Grand-Sud	Vif		Collège le Masségu (cuisines) / Rue du 19 mars 1962 (en face de la salle polyvalente)			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.672296	45.051388	POINT (5.672296023925436 45.05138775284748)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a7b	936	Grand-Sud	Vif		Salle polyvalente Louis Maisonnat / Rue du 19 mars 1962 (en face du collège)			verre		aérien	3	UTPM	Ecobox						UTPM_Ecobox_3_A_c					5.671901	45.051389	POINT (5.671900627625529 45.05138909761493)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a7c	937	Grand-Sud	Vif		5 Avenue Général De Gaulle / Contre-allée vers rond-point (ancien tracé de l'avenue)			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.667342	45.047139	POINT (5.667342145268594 45.04713925497662)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a7d	938	Grand-Sud	Vif		Le Crozet / Rue de la Croix			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.67118	45.040423	POINT (5.671180102103308 45.04042342815123)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a7e	939	Grand-Sud	Vif		Le Genevrey / Avenue Général De Gaulle / Avenue Louis Vicat / Avant pont sur la Gresse			verre		aérien	4.2	Citec	Cyclea Max						Citec_Cyclea Max_4.2_A_c					5.65123	45.027893	POINT (5.651229621335299 45.027893458601866)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a7f	940	Grand-Sud	Vif		23 Rue Gustave Guerre / Parking vers passerelle / Face école Malraux			verre		aérien	3	UTPM	Ecobox						UTPM_Ecobox_3_A_c					5.666571	45.053675	POINT (5.666570951602139 45.05367518131401)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a80	941	Grand-Sud	Vif		Rue du 8 mai 1945 / Rue de l'Espère / supermarché Casino (côté panneau d'information)			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.679068	45.054487	POINT (5.679068178768733 45.0544873856568)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a81	942	Grand-Sud	Vif		Rue du 8 mai 1945 / supermarché Casino (côté transformateur)			verre		aérien	4	Citec	Cyclea						Citec_Cyclea_4_A_c					5.679087	45.054452	POINT (5.67908705934685 45.05445186371415)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3a82	944	Grand-Sud	Vif		Déchèterie / Avenue de la Gare (Route D63)			verre		aérien	3	UTPM	Ecobox						UTPM_Ecobox_3_A_c					5.686483	45.047625	POINT (5.686482681632179 45.04762524937677)
