FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3171	3122	Grand-Sud	Vizille		Lycée (entrée fournisseurs - cuisines) / Avenue Aristide Briand		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.768514	45.067309	POINT (5.768232400775024 45.06735937685005)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3172	2118	Grand-Sud	Vizille		Lycée (entrée fournisseurs - cuisines) / Avenue Aristide Briand		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.767955	45.067354	POINT (5.768094168513433 45.06734109513623)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3173	3173	Grand-Sud	Vizille		Lycée (entrée fournisseurs - cuisines) / Avenue Aristide Briand		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois								2019-09-12	Conteneur Emballages supplémentaire sur site existant		5.768073619	45.067346468	POINT (5.768073618903954 45.067346508653785)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3192	1215	Grand-Sud	Vizille		Parking Lycée / Gendarmerie / Avenue Pasteur		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Sale	SNNECO_Eco-Bois_4_A_k					5.766142	45.069091	POINT (5.766141901344712 45.069090565464826)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3193	1203	Grand-Sud	Vizille		Collège Les Mattons (Gymnase) / Rue derrière gymnase		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Bon	SNNECO_Eco-DI_3_A_k					5.775133	45.087955	POINT (5.775133121681124 45.087955071458204)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3248	3114	Grand-Sud	Vizille		La Poste (derrière bâtiment) / Rue Cesar Ferrafiat / Rue Eugène Bethoux		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Bon					2018-01-08 (???)	5.770054	45.078798	POINT (5.770054020473693 45.07879837715685)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3249	2110	Grand-Sud	Vizille		La Poste (derrière bâtiment) / Rue Cesar Ferrafiat / Rue Eugène Bethoux		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.770032	45.078784	POINT (5.770031643716003 45.07878357079247)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_324a	2122	Grand-Sud	Vizille		Le Grand Trou (Péage de Vizille) / 1108 Rue du Maquis de l'Oisans (RD 1091)		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.777964	45.052926	POINT (5.777947062664965 45.05292253973018)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_324b	3110	Grand-Sud	Vizille		Les Corniers / Centre de loisirs / Chemin des Corniers		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.788169	45.08193	POINT (5.788168670444018 45.08193042122)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_324c	2106	Grand-Sud	Vizille		Les Corniers / Centre de loisirs / Chemin des Corniers		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.788199	45.081928	POINT (5.7881835382401565 45.08192825415645)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_324d	2099	Grand-Sud	Vizille		Les Roseaux / Avenue de Vénaria / Avenue des Roseaux		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Bon						5.77123	45.082708	POINT (5.771221146980807 45.08270414564819)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_324e	3102	Grand-Sud	Vizille		Les Roseaux / Avenue de Vénaria / Avenue des Roseaux		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois	STCM 4m3 crochet				Bon			2018-11-16			5.77121	45.0827	POINT (5.771210342374763 45.08269982620196)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3250	3121	Grand-Sud	Vizille		Parking Lycée / Gendarmerie / Avenue Pasteur		EMB	emballages	CA	aérien	4	SNNECO	Eco-Bois					Sale						5.766134	45.069074	POINT (5.766134026777232 45.069074067960955)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3251	2117	Grand-Sud	Vizille		Parking Lycée / Gendarmerie / Avenue Pasteur		PAP	papier	CA	aérien	4	SNNECO	Eco-Bois					Sale						5.766142	45.069091	POINT (5.766137866051037 45.069082860416174)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3252	3116	Grand-Sud	Vizille		Parking République / 124 Rue de la République		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.771587	45.076765	POINT (5.771587255513225 45.07676485054231)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3253	2113	Grand-Sud	Vizille		Parking République / 124 Rue de la République		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Bon						5.771611	45.076758	POINT (5.771599379771319 45.07676096749491)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3254	2112	Grand-Sud	Vizille		Piscine / Rue Argoud		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Bon						5.770734	45.077519	POINT (5.770717029987136 45.07751930655344)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3255	3117	Grand-Sud	Vizille		Place du Château / Rue Emile Cros		EMB	emballages	CE	enterré	0	Villiger	?					Usé						5.772283	45.074702	POINT (5.7722831226610065 45.0747020753507)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3256	2114	Grand-Sud	Vizille		Place du Château / Rue Emile Cros		PAP	papier	CE	enterré	0	Villiger	?					Usé						5.772267	45.074736	POINT (5.772273173674178 45.07471856928998)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3257	2108	Grand-Sud	Vizille		Place du Marché / Place Henri Barbusse		PAP	papier	CE	enterré	0	Villiger	?					Sale						5.773882	45.079235	POINT (5.773866109107372 45.07923957062578)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3258	3099	Grand-Sud	Vizille		ZA Cornage / Intermarché / 270 Rue Ambroise Croizat / Chemin des Peupliers		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.762691	45.084467	POINT (5.762691036765059 45.08446738663015)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3259	2098	Grand-Sud	Vizille		ZA Cornage / Intermarché / 270 Rue Ambroise Croizat / Chemin des Peupliers		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.762689	45.084432	POINT (5.762687898195062 45.084449690011134)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_325a	3115	Grand-Sud	Vizille		Piscine / Rue Argoud		EMB	emballages	CA	aérien	4	STCM	Polytri	STCM 4m3 crochet				Bon					2018-11-16	5.770701	45.077519	POINT (5.770701050367662 45.07751888528073)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_325b	3119	Grand-Sud	Vizille		ZA Messidor / Carrefour Market / 172 Rue Messidor		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.764529	45.071299	POINT (5.764528984664786 45.07129953509825)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_325c	2116	Grand-Sud	Vizille		ZA Messidor / Carrefour Market / 172 Rue Messidor		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Sale						5.764524	45.071246	POINT (5.764525388734026 45.07127215561015)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3260	3120	Grand-Sud	Vizille		ZA Messidor / Carrefour Market / 172 Rue Messidor		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.764535	45.071328	POINT (5.764534902753846 45.07132766519986)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3264	3113	Grand-Sud	Vizille		Alliance / Boulodrome / 196 Rue Pierre et Marie Curie		EMB	emballages	CE	enterré	0	Citec	?					Bon						5.769282	45.080354	POINT (5.769281614842862 45.080354058887366)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a1	2109	Grand-Sud	Vizille		Alliance / Boulodrome / 196 Rue Pierre et Marie Curie		PAP	papier	CE	enterré	0	Citec	?					Bon						5.769282	45.080354	POINT (5.769303330034326 45.080355148197086)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32a4	2119	Grand-Sud	Vizille		Ancienne Place du Marché (Péage de Vizille) / 175-213 Rue du Maquis de l'Oisans		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Sale						5.7695	45.057995	POINT (5.769495620995526 45.05798806803265)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32ac	2121	Grand-Sud	Vizille		Ancienne Place du Marché (Péage de Vizille) / 175-213 Rue du Maquis de l'Oisans		PAP	papier	CA	aérien	4	UTPM	Ecobox					Sale						5.7695	45.057995	POINT (5.769490057907146 45.05797911575839)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32f5	3109	Grand-Sud	Vizille		Cimetière / Chemin du Cimetière		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.777008	45.082802	POINT (5.777007905214048 45.08280177945844)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32f6	2105	Grand-Sud	Vizille		Cimetière / Chemin du Cimetière		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Bon						5.777001	45.082747	POINT (5.777002933358651 45.08277607245753)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32f8	2102	Grand-Sud	Vizille		Collège Les Mattons (Cuisines cantine) / 396 Avenue de Vénaria		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.776189	45.085818	POINT (5.776159767990991 45.08580615323249)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32f9	3105	Grand-Sud	Vizille		Collège Les Mattons (Gymnase) / Rue derrière gymnase		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.775096	45.087903	POINT (5.775096352433326 45.08790270095486)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32fa	2101	Grand-Sud	Vizille		Collège Les Mattons (Gymnase) / Rue derrière gymnase		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.775133	45.087955	POINT (5.775117322851671 45.08792456927158)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_32fd	3118	Grand-Sud	Vizille		Ecole du Château (parking devant école) / Rue Emile Cros		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Sale						5.77284	45.073634	POINT (5.772839838192561 45.07363387652476)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3302	3106	Grand-Sud	Vizille		Collège Les Mattons (Cuisines cantine) / 396 Avenue de Vénaria		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.776124	45.085795	POINT (5.776123928920954 45.08579528194072)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3303	2120	Grand-Sud	Vizille		Déchèterie (Péage de Vizille) / 526 Rue du Maquis de l'Oisans (RD 1091)		PAP	papier	CA	aérien	4	UTPM	Ecobox					Bon						5.772468	45.056022	POINT (5.772335429489678 45.05608228410024)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3304	2115	Grand-Sud	Vizille		Ecole du Château (parking devant école) / Rue Emile Cros		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Sale						5.772824	45.073623	POINT (5.772824490069305 45.0736229377257)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3305	3124	Grand-Sud	Vizille		Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin		EMB	emballages	CA	aérien	4	STCM	Polytri					Sale						5.777624	45.055316	POINT (5.777623811682398 45.05531636161123)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3306	3126	Grand-Sud	Vizille		Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.777615	45.055325	POINT (5.777614659796355 45.0553247851817)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3307	2123	Grand-Sud	Vizille		Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Sale						5.777642	45.055298	POINT (5.777633154829124 45.05530656113654)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3308	3108	Grand-Sud	Vizille		EHPAD / 218 Chemin des Mattons		EMB	emballages	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.77378	45.082198	POINT (5.7737799700701995 45.08219818114087)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3309	2104	Grand-Sud	Vizille		EHPAD / 218 Chemin des Mattons		PAP	papier	CA	aérien	5	SNNECO	Eco-Bois					Bon						5.773835	45.082203	POINT (5.7738085701815525 45.08220088722651)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3326	1211	Grand-Sud	Vizille		Piscine / Rue Argoud		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Bon	SNNECO_Eco-Bois_4_A_k					5.770734	45.077519	POINT (5.770734296714362 45.07751923577626)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3348	3107	Grand-Sud	Vizille		Gymnase Guy Mocquet / 106 Avenue de Vénaria		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.774727	45.083019	POINT (5.774726536665139 45.08301943919477)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3349	2103	Grand-Sud	Vizille		Gymnase Guy Mocquet / 106 Avenue de Vénaria		PAP	papier	CA	aérien	4	SNNECO	Eco-DI					Bon						5.774732	45.083087	POINT (5.7747304502831245 45.0830532721614)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_334a	3100	Grand-Sud	Vizille		Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.77116	45.085231	POINT (5.7711595559147115 45.0852313037819)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_334b	3103	Grand-Sud	Vizille		Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI					Bon						5.77116	45.085239	POINT (5.77115962232835 45.0852385739769)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_334d	2100	Grand-Sud	Vizille		Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud		PAP	papier	CA	aérien	4	SNNECO	Eco-Bois					Bon						5.771161	45.08525	POINT (5.771160211437439 45.085242481934394)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3353	3104	Grand-Sud	Vizille		Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud		EMB	emballages	CA	aérien	4	SNNECO	Eco-DI	?_?_?_A_?				Bon					2018-01-08 (???)	5.771159	45.085235	POINT (5.771159446934101 45.08523494232577)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3377	3112	Grand-Sud	Vizille		Place du Marché / Place Henri Barbusse		EMB	emballages	CE	enterré	0	Villiger	?					Usé						5.77385	45.079244	POINT (5.773850354161712 45.07924399221064)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3381	1221	Grand-Sud	Vizille		Le Grand Trou (Péage de Vizille) / 1108 Rue du Maquis de l'Oisans (RD 1091)		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Sale	SNNECO_Eco-Bois_4_A_k					5.777964	45.052926	POINT (5.7779640270698085 45.05292601052948)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3382	1208	Grand-Sud	Vizille		Les Corniers / Centre de loisirs / Chemin des Corniers		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Sale	SNNECO_EcoDI_3_A_k					5.788199	45.081928	POINT (5.788199377032097 45.081928002355205)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3383	1201	Grand-Sud	Vizille		Les Roseaux / Avenue de Vénaria / Avenue des Roseaux		VER	verre	CA	aérien	4	SNNECO	Eco-Bois					Bon	SNNECO_Eco-Bois_4_A_k					5.77123	45.082707	POINT (5.771229882920671 45.0827075161231)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3386	1212	Grand-Sud	Vizille		Parking République / 124 Rue de la République		VER	verre	CA	aérien	3	SNNECO	Eco-DI					Bon	SNNECO_Eco-DI_3_E_k					5.771611	45.076758	POINT (5.771611449561059 45.07675774951302)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3387	1213	Grand-Sud	Vizille		Place du Château / Rue Emile Cros		VER	verre	CE	enterré	0	Villiger	?					Bon	Villiger__0_E_k					5.772267	45.074736	POINT (5.7722665669285576 45.074736351583354)
