FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3143	1334	Sud	Echirolles		Allée des 120 Toises / Base de loisirs Pablo Picasso / Tennis couverts		VER	verre	CA	aérien	3	UTPM	Ecobox	UTPM 3m3 crochet, puce FA940482000004D8; gps							2019-09-09	Nouveau site de collecte		5.696020773	45.144953702	POINT (5.696020773472298 45.14495374333721)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3144	1229	Nord-Ouest	Fontaine		Quai du Drac / Pont du Vercors		VER	verre	CA	aérien	2	UTPM	Ecobox					Bon	UTPM_Ecobox_2_A_c					5.700492	45.192758	POINT (5.7004923725301415 45.192758303623826)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3145	1244	Nord-Ouest	Seyssins		79-81 Avenue de Claix (ilôts C1/C3)		VER	verre	CE	enterré	4	Citec						Sale	Citec__4_E_k					5.6786	45.149923	POINT (5.678599861337422 45.149923024180495)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3146	327	Sud	Grenoble	4	46 Rue Général Ferrié / Square Ferrié		VER	verre	CA	aérien	3	Citec						Bon	Citec__3_A_c					5.724455	45.176811	POINT (5.724454650977875 45.17681101150891)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3147	5289	Sud	Grenoble	6	130 Galerie de l'Arlequin	Villeneuve	CS	collecte sélective	CE	enterré	5	Citec						Bon						5.731107	45.162834	POINT (5.731106755686807 45.16283398693788)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3148	4022	Nord-Est	Le Sappey en Chartreuse		Entrée village / Crèche / La Charmette / Route du Col de Porte (Route D512)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.777139	45.259226	POINT (5.7771391026853465 45.25922593492956)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3149	4021	Nord-Est	Le Sappey en Chartreuse		La Jacobine / Foyer ski / Route de la Jacobine (parking)		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-10			5.778946	45.258555	POINT (5.778876359079418 45.258533215001016)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314a	4026	Nord-Est	Le Sappey en Chartreuse		La Virette / Camping / Ecole / Place des Justes		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.77628	45.260037	POINT (5.776288487885904 45.26002033245961)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314b	4039	Nord-Est	Le Sappey en Chartreuse		Pont de Prallières / Route de Prallières / Route de Jaillères		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.778599	45.262319	POINT (5.778598677205365 45.262318596545434)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_314c	4025	Nord-Est	Le Sappey en Chartreuse		La Virette / Camping / Ecole / Place des Justes		OMR	ordures ménagères résiduelles	CSE	semi-enterré	5	Bauer	GTE		trappe			Bon		2018-06	2015-06			5.776241	45.260058	POINT (5.776316758133201 45.260003927315246)
